日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2025-12-31,65.0,95.88,65.0,71.32,23827680,1741012128.91,80.6752,225.2166
2026-01-05,65.88,75.77,65.6,69.18,17299278,1233599553.7,58.5715,-3.0006
2026-01-06,66.88,74.99,66.66,74.5,16902731,1217352019.68,57.2289,7.6901
2026-01-07,80.0,88.3,73.0,74.58,19310024,1509054418.05,65.3794,0.1074
2026-01-08,70.15,73.0,67.95,68.06,15133038,1052222710.84,51.2371,-8.7423
2026-01-09,67.9,67.9,64.65,65.3,11253248,737995831.87,38.101,-4.0552
2026-01-12,63.99,66.44,62.6,64.71,9909965,634716630.37,33.5529,-0.9035
2026-01-13,63.8,64.0,61.8,61.81,8165030,512063744.55,27.645,-4.4815
2026-01-14,61.5,62.99,61.3,62.25,5929538,368605114.52,20.0761,0.7119
2026-01-15,61.65,63.49,61.63,63.07,5202137,327097932.4,17.6133,1.3173
2026-01-16,63.01,63.43,62.01,62.03,4296927,267834899.85,14.5484,-1.649
2026-01-19,61.91,63.54,61.67,63.38,4543721,285700585.44,15.384,2.1764
2026-01-20,63.12,63.39,61.7,61.88,3989096,248279730.64,13.5062,-2.3667
2026-01-21,61.76,63.47,61.6,63.44,5205731,327930295.3,17.6254,2.521
2026-01-22,63.58,63.59,62.41,62.57,3779475,236794659.75,12.7965,-1.3714
2026-01-23,62.7,63.85,62.5,63.41,4589327,290244505.98,15.5384,1.3425
2026-01-26,63.61,64.77,62.57,63.94,5310015,338119066.76,17.9785,0.8358
2026-01-27,63.1,63.44,61.58,62.42,3708903,230837782.35,12.5575,-2.3772
2026-01-28,62.1,62.15,60.44,60.68,4012858,245905607.66,13.5866,-2.7876
2026-01-29,60.3,60.7,57.7,58.19,3878835,227611281.53,13.1329,-4.1035
2026-01-30,57.78,59.09,57.7,58.28,2373340,138484836.95,8.0356,0.1547
2026-02-02,58.28,58.49,57.1,57.12,1984907,114563014.4,6.7205,-1.9904
2026-02-03,57.3,57.67,56.86,57.67,1860875,106738705.47,6.3005,0.9629
2026-02-04,57.5,61.22,57.19,60.66,4909866,292663710.63,16.6237,5.1847
2026-02-05,60.0,60.0,58.56,58.7,2832279,167095330.7,9.5895,-3.2311
2026-02-06,57.98,59.07,57.8,58.52,1508125,88223578.28,5.1062,-0.3066
2026-02-09,58.6,59.78,58.6,59.5,2039987,120983614.39,6.9069,1.6746
2026-02-10,59.0,59.8,58.51,59.13,1900849,112354890.36,6.4358,-0.6218
2026-02-11,59.26,59.26,58.01,58.25,1489372,87317907.31,5.0427,-1.4882
2026-02-12,58.26,58.4,57.57,57.57,1428236,82765599.41,4.8357,-1.1674
2026-02-13,57.38,57.86,57.01,57.02,1105838,63540089.23,3.7441,-0.9554
2026-02-24,57.68,58.98,57.07,58.89,2202595,128237645.17,7.4575,3.2796
2026-02-25,58.53,61.43,58.53,61.0,3796797,229206331.97,12.8551,3.583
2026-02-26,60.87,61.16,60.02,61.0,2391050,145149005.54,8.0956,0.0
2026-02-27,60.52,61.83,60.52,61.54,2585127,158540785.32,8.7527,0.8852
2026-03-02,60.95,61.97,60.31,60.63,2586531,158015122.19,8.7574,-1.4787
2026-03-03,60.63,62.5,57.84,57.9,3918810,236260735.17,13.2682,-4.5027
2026-03-04,56.7,58.78,56.66,58.06,2067377,119772103.1,6.9997,0.2763
2026-03-05,59.28,61.0,59.28,60.1,2681901,161515217.55,9.0803,3.5136
2026-03-06,59.85,60.17,59.16,60.01,1630471,97551284.97,5.5204,-0.1498
2026-03-09,58.65,59.08,56.71,58.8,2694469,155728877.32,9.1229,-2.0163
2026-03-10,59.39,61.0,59.39,60.98,3082468,187064792.56,10.4365,3.7075
2026-03-11,60.85,64.1,60.61,64.0,8061086,506778719.59,27.293,4.9524
2026-03-12,64.46,65.22,62.87,63.45,5865691,374995888.84,19.8599,-0.8594
2026-03-13,62.4,65.31,62.4,63.98,5629939,361732972.11,19.0617,0.8353
2026-03-16,63.0,64.7,62.49,63.38,4056490,256790249.46,13.7344,-0.9378
2026-03-17,63.1,70.49,63.1,68.93,11237963,765559797.15,38.0492,8.7567
2026-03-18,68.0,74.4,66.0,70.3,11946727,835060235.77,40.4489,1.9875
2026-03-19,66.94,67.88,64.0,64.79,7561968,494001669.81,25.6031,-7.8378
2026-03-20,64.1,65.11,60.8,60.92,5316075,332535379.75,17.999,-5.9731
2026-03-23,57.91,60.49,57.16,58.15,3644931,214613406.88,12.3409,-4.5469
2026-03-24,59.07,59.87,56.99,59.12,3557548,208059200.94,12.0451,1.6681
2026-03-25,58.93,60.93,58.4,59.76,3742535,224711287.86,12.6714,1.0825
2026-03-26,59.1,59.17,56.3,56.34,4036507,232303128.41,13.6667,-5.7229
