日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2019-01-02,4.96,5.01,4.93,4.95,973980,4838859.0,0.257753,0.202424
2019-01-03,4.93,5.04,4.93,5.01,1317757,6578590.0,0.34873,1.21213
2019-01-04,4.98,5.11,4.93,5.09,1641763,8297764.78,0.434474,1.596805
2019-01-07,5.12,5.17,5.09,5.15,1885525,9672006.56,0.498983,1.178781
2019-01-08,5.14,5.15,5.1,5.14,1229234,6302668.69,0.325303,-0.194179
2019-01-09,5.11,5.19,5.11,5.13,2177200,11225427.0,0.576172,-0.194548
2019-01-10,5.16,5.17,5.1,5.1,1650197,8474556.08,0.436706,-0.584799
2019-01-11,5.1,5.14,5.07,5.12,1240450,6335793.7,0.328271,0.392157
2019-01-14,5.14,5.17,5.13,5.15,1426993,7347077.07,0.377638,0.585942
2019-01-15,5.15,5.2,5.13,5.2,2064241,10672688.58,0.546278,0.970868
2019-01-16,5.17,5.23,5.17,5.19,1810361,9393755.98,0.479092,-0.192303
2019-01-17,5.15,5.2,5.09,5.11,1641323,8434754.27,0.434358,-1.541424
2019-01-18,5.1,5.18,5.1,5.17,1478582,7601053.29,0.39129,1.174167
2019-01-21,5.2,5.26,5.18,5.23,2913929,15220014.14,0.771139,1.16054
2019-01-22,5.22,5.29,5.1,5.14,2152247,11170089.91,0.569568,-1.720844
2019-01-23,5.12,5.17,5.09,5.12,1608680,8238374.2,0.425719,-0.389105
2019-01-24,5.15,5.17,5.11,5.15,1697746,8737161.59,0.44929,0.585942
2019-01-25,5.16,5.18,5.12,5.18,2021988,10423182.24,0.535097,0.582519
2019-01-28,5.2,5.28,5.14,5.17,2823486,14692832.74,0.747204,-0.193045
2019-01-29,5.15,5.18,5.03,5.11,2095744,10671715.88,0.554615,-1.16054
2019-01-30,5.1,5.14,4.98,4.99,1287800,6545084.0,0.340802,-2.348344
2019-01-31,5.05,5.05,4.82,4.97,2137069,10603917.58,0.565551,-0.400801
2019-02-01,4.94,5.04,4.94,5.03,1419900,7108713.97,0.375761,1.207252
2019-02-11,5.03,5.12,5.02,5.12,2131080,10807790.6,0.563967,1.789258
2019-02-12,5.12,5.17,5.07,5.16,2467383,12645613.81,0.652965,0.781249
2019-02-13,5.22,5.23,5.14,5.22,3667739,19051067.36,0.970626,1.16279
2019-02-14,5.2,5.24,5.17,5.23,3302340,17210173.8,0.873927,0.191575
2019-02-15,5.23,5.29,5.2,5.24,2744488,14396168.24,0.726298,0.1912
2019-02-18,5.28,5.38,5.23,5.37,4654799,24801329.12,1.231841,2.480918
2019-02-19,5.37,5.49,5.31,5.4,5818108,31364864.53,1.539697,0.558663
2019-02-20,5.52,5.57,5.38,5.44,4467069,24461448.55,1.18216,0.74074
2019-02-21,5.39,5.5,5.36,5.37,4153674,22542715.4,1.099224,-1.286768
2019-02-22,5.38,5.44,5.34,5.42,3383743,18229954.2,0.89547,0.931102
2019-02-25,5.45,5.63,5.42,5.61,9107211,50291966.69,2.410122,3.505536
2019-02-26,5.6,5.68,5.54,5.56,7558749,42360613.67,2.000339,-0.891269
2019-02-27,5.56,5.66,5.54,5.59,6515138,36530011.39,1.724159,0.539572
2019-02-28,5.59,6.02,5.56,5.74,8368717,48188194.72,2.214688,2.683356
2019-03-01,5.76,5.84,5.67,5.77,3521417,20162735.99,0.931904,0.522652
2019-03-04,5.76,5.93,5.75,5.78,5510800,32113257.0,1.458372,0.173314
