日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2023-07-18,66.1,85.93,66.0,76.6,16403761,1225759937.73,82.1747,63.7802
2023-07-19,72.0,87.6,70.8,83.48,12789201,1000967634.67,64.0675,8.9817
2023-07-20,81.1,84.9,76.8,79.5,8200738,658697145.84,41.0816,-4.7676
2023-07-21,78.88,83.8,75.76,78.0,7481938,595448290.56,37.4808,-1.8868
2023-07-24,77.0,86.77,77.0,83.2,7372754,606743660.21,36.9338,6.6667
2023-07-25,85.6,86.6,76.32,83.18,6608520,532911006.42,33.1054,-0.024
2023-07-26,85.95,89.88,84.46,84.88,4373048,378868856.98,21.9068,2.0438
2023-07-27,82.5,86.92,81.98,82.86,3162405,266240899.19,15.8421,-2.3798
2023-07-28,83.41,84.34,76.9,79.05,4267376,339275925.08,21.3774,-4.5981
2023-07-31,76.88,83.35,75.5,82.1,2920327,232832158.04,14.6294,3.8583
2023-08-01,81.53,94.68,78.58,90.3,3299030,285493985.75,16.5265,9.9878
2023-08-02,87.9,108.0,87.13,101.9,4005454,392577668.49,20.0653,12.8461
2023-08-03,101.3,106.0,96.01,99.39,4136606,411380482.13,20.7223,-2.4632
2023-08-04,98.02,98.81,94.68,96.2,3209556,309195520.82,16.0783,-3.2096
2023-08-07,97.2,98.37,91.2,94.75,2469963,233802352.98,12.3733,-1.5073
2023-08-08,93.79,94.99,89.0,89.61,2784638,255560930.94,13.9496,-5.4248
2023-08-09,89.0,89.9,82.88,85.0,3751567,321063880.31,18.7935,-5.1445
2023-08-10,83.98,90.6,83.98,89.07,3144623,276647770.57,15.753,4.7882
2023-08-11,87.94,90.45,85.08,86.29,1999083,174903495.77,10.0144,-3.1211
2023-08-14,86.0,86.7,83.37,85.0,1349597,115052510.58,6.7608,-1.495
2023-08-15,87.1,88.83,82.06,83.0,1508797,129028321.88,7.5583,-2.3529
2023-08-16,82.4,84.0,79.87,80.33,1679823,136802527.6,8.4151,-3.2169
2023-08-17,80.0,83.69,79.96,81.9,1767279,144897201.42,8.8532,1.9544
2023-08-18,84.3,88.35,84.3,84.91,2327128,201147718.15,11.6577,3.6752
2023-08-21,84.17,86.29,82.0,83.04,1363413,113843199.39,6.83,-2.2023
2023-08-22,83.04,85.3,80.02,85.1,1423821,118375012.91,7.1326,2.4807
2023-08-23,83.36,83.36,78.0,78.74,1547241,123871872.96,7.7509,-7.4736
2023-08-24,79.5,85.33,76.7,83.2,1575816,128978505.59,7.8941,5.6642
2023-08-25,81.21,83.7,75.04,77.33,1432538,113021952.54,7.1763,-7.0553
2023-08-28,81.9,82.9,74.27,75.99,1809067,141098579.28,9.0625,-1.7328
2023-08-29,74.63,81.98,73.99,81.6,2779118,218494234.55,13.922,7.3826
2023-08-30,81.8,87.9,81.8,83.01,3124947,264110425.33,15.6544,1.7279
2023-08-31,82.0,88.27,80.25,87.5,2872816,245954802.49,14.3914,5.409
2023-09-01,88.0,96.32,87.53,88.68,3784585,347056209.01,18.9589,1.3486
2023-09-04,89.15,90.9,85.35,89.9,2376721,208870972.07,11.9062,1.3757
2023-09-05,89.0,92.28,88.23,90.2,1917973,172580983.75,9.6081,0.3337
2023-09-06,88.22,92.7,88.22,91.86,1407720,128062487.67,7.052,1.8404
2023-09-07,90.35,90.8,86.0,88.2,1277946,113189836.51,6.4019,-3.9843
2023-09-08,89.47,94.62,87.0,92.1,1863502,170978252.74,9.3352,4.4218
2023-09-11,91.46,91.5,88.18,90.96,1296666,116159019.75,6.4956,-1.2378
2023-09-12,89.58,92.0,86.61,87.2,1105412,98621487.45,5.5376,-4.1337
2023-09-13,87.11,89.8,86.0,88.6,938879,82836601.74,4.7033,1.6055
2023-09-14,87.74,87.74,84.87,86.1,886472,76477428.73,4.4408,-2.8217
2023-09-15,86.3,87.3,83.08,85.45,642256,54419486.78,3.2174,-0.7549
2023-09-18,84.28,86.12,82.6,82.95,567622,47622343.88,2.8435,-2.9257
2023-09-19,82.4,83.57,80.42,81.08,639756,52405473.3,3.2049,-2.2544
2023-09-20,80.03,82.9,79.88,80.26,344633,27919589.05,1.7264,-1.0113
2023-09-21,79.61,81.23,79.0,80.06,305296,24467513.25,1.5294,-0.2492
2023-09-22,79.91,82.21,79.26,82.1,542116,43900145.85,2.7157,2.5481
2023-09-25,82.13,83.66,80.18,82.33,665546,54766161.27,3.3341,0.2801
2023-09-26,81.35,83.28,80.73,81.47,393898,32208762.05,1.9732,-1.0446
2023-09-27,80.88,84.68,79.78,82.5,551298,45404614.18,2.7617,1.2643
2023-09-28,83.9,92.0,82.53,90.28,1416002,124266740.58,7.0935,9.4303
2023-10-09,89.0,91.36,87.8,89.8,526875,46952530.05,2.6394,-0.5317
2023-10-10,89.9,91.67,87.3,87.74,738060,65500610.82,3.6973,-2.294
2023-10-11,88.0,90.2,85.93,88.35,565530,49776649.57,2.833,0.6952
2023-10-12,88.5,95.87,86.38,95.8,1398054,127502270.15,7.0036,8.4324
2023-10-13,93.0,96.61,93.0,94.5,743401,70300438.63,3.7241,-1.357
2023-10-16,93.79,93.79,90.42,91.08,651264,59864775.43,3.2625,-3.619
2023-10-17,91.88,91.94,89.0,91.5,503688,45587129.14,2.5232,0.4611
2023-10-18,91.0,93.97,90.86,92.21,717335,66189778.55,3.5935,0.776
2023-10-19,91.05,94.39,90.49,90.66,441301,40741419.32,2.2107,-1.6809
2023-10-20,89.06,91.19,87.1,88.06,653527,57985625.72,3.2738,-2.8679
2023-10-23,88.4,88.4,83.87,85.63,717242,61399314.13,3.593,-2.7595
2023-10-24,85.98,91.34,83.85,89.05,825656,72184246.84,4.1361,3.9939
2023-10-25,89.89,89.89,83.55,85.11,719351,61648840.46,3.6036,-4.4245
2023-10-26,84.11,86.77,83.5,86.11,482722,41046819.34,2.4182,1.175
2023-10-27,86.11,88.77,83.67,87.0,625776,54141316.18,3.1348,1.0336
2023-10-30,89.44,96.0,87.0,94.0,1110468,102364880.81,5.5629,8.046
2023-10-31,108.0,112.8,104.0,105.0,3530792,387653295.63,17.6875,11.7021
2023-11-01,102.56,103.0,91.52,93.3,3164522,306715074.51,15.8527,-11.1429
2023-11-02,93.0,93.73,87.45,91.43,2067248,187139568.17,10.3559,-2.0043
2023-11-03,90.97,95.98,90.31,95.01,1435223,134701003.89,7.1898,3.9156
2023-11-06,95.01,98.87,94.56,98.47,1398522,135174346.1,7.0059,3.6417
2023-11-07,97.67,100.0,96.18,99.01,938683,92282587.84,4.7023,0.5484
2023-11-08,98.17,102.99,97.67,101.0,668510,67129927.8,3.3489,2.0099
2023-11-09,101.0,103.84,99.5,100.12,593712,60009685.15,2.9742,-0.8713
2023-11-10,99.0,108.75,99.0,103.77,868116,90603424.98,4.3488,3.6456
2023-11-13,103.12,105.86,99.13,100.6,861608,87098870.59,4.3162,-3.0548
2023-11-14,100.89,100.99,98.32,98.72,549431,54681080.18,2.7524,-1.8688
