日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2019-01-02,3.78,3.79,3.65,3.71,54269661,201531123.0,0.307202,-1.329786
2019-01-03,3.7,3.76,3.67,3.74,55198167,205053788.0,0.312458,0.808625
2019-01-04,3.68,3.85,3.67,3.83,86050938,325756878.0,0.487105,2.406415
2019-01-07,3.86,3.91,3.83,3.89,86104696,332815643.0,0.48741,1.566584
2019-01-08,3.9,3.9,3.85,3.85,48864480,189003642.0,0.276605,-1.028283
2019-01-09,3.86,3.93,3.83,3.86,67706590,262594368.0,0.383264,0.25974
2019-01-10,3.84,3.86,3.8,3.8,56012412,214340747.0,0.317067,-1.554403
2019-01-11,3.8,3.85,3.8,3.83,36886500,141108298.0,0.208802,0.789473
2019-01-14,3.84,3.86,3.8,3.81,46798443,179223864.0,0.26491,-0.522193
2019-01-15,3.82,3.88,3.8,3.86,67637047,259995370.0,0.382871,1.312335
2019-01-16,3.85,3.86,3.81,3.82,44385822,170009246.0,0.251253,-1.036268
2019-01-17,3.82,3.87,3.78,3.82,62554415,238961849.0,0.3541,0.0
2019-01-18,3.81,3.96,3.81,3.92,146084443,570086290.0,0.826935,2.617805
2019-01-21,3.97,3.97,3.91,3.92,87226889,342906697.0,0.493762,0.0
2019-01-22,3.91,3.92,3.85,3.86,64945633,251651428.0,0.367635,-1.530617
2019-01-23,3.85,3.89,3.83,3.89,42093087,162988903.0,0.238275,0.777208
2019-01-24,3.88,3.89,3.83,3.86,44079573,169993267.0,0.24952,-0.771214
2019-01-25,3.86,3.89,3.83,3.85,50361391,194128466.0,0.285079,-0.259067
2019-01-28,3.87,3.89,3.83,3.84,50296321,194106089.0,0.284711,-0.25974
2019-01-29,3.83,3.83,3.62,3.79,74141756,277878018.0,0.419692,-1.302082
2019-01-30,3.76,3.83,3.73,3.79,39725948,150697339.0,0.224875,0.0
2019-01-31,3.85,3.9,3.78,3.84,96143774,369817229.0,0.544238,1.31926
2019-02-01,3.86,3.91,3.83,3.9,74469736,288310841.0,0.421548,1.562505
2019-02-11,3.9,4.08,3.89,4.06,152936255,606223333.0,0.865721,4.10256
2019-02-12,4.02,4.07,4.0,4.05,121853517,491680177.0,0.689772,-0.246299
2019-02-13,4.05,4.27,4.03,4.19,221959212,922635772.0,1.256436,3.456787
2019-02-14,4.17,4.19,4.11,4.16,123751693,513397196.0,0.700517,-0.715995
2019-02-15,4.14,4.26,4.12,4.16,126120684,528038179.0,0.713927,0.0
2019-02-18,4.22,4.33,4.18,4.32,199517409,847503810.0,1.129401,3.846162
2019-02-19,4.33,4.44,4.24,4.31,196200306,850073643.0,1.110624,-0.231487
2019-02-20,4.33,4.48,4.31,4.42,252554271,1115529110.0,1.429625,2.552207
2019-02-21,4.42,4.46,4.32,4.34,196813050,865142441.0,1.114093,-1.809953
2019-02-22,4.32,4.39,4.25,4.39,158784415,684268716.0,0.898825,1.152067
2019-02-25,4.46,4.78,4.46,4.78,354506048,1638603738.0,2.00674,8.883835
2019-02-26,4.84,5.16,4.68,4.92,438482992,2139336884.0,2.482105,2.928867
2019-02-27,4.85,4.98,4.7,4.8,277150672,1348039738.0,1.568857,-2.439022
2019-02-28,4.8,4.85,4.72,4.76,137879991,658917380.0,0.780492,-0.833333
2019-03-01,4.81,4.84,4.69,4.79,145232148,691348253.0,0.82211,0.630247
2019-03-04,4.8,4.93,4.78,4.83,254063014,1233831878.0,1.438165,0.835072
2019-03-05,4.79,4.88,4.73,4.88,201652451,970100062.0,1.141487,1.035201
2019-03-06,4.88,5.13,4.88,5.07,386597472,1936281310.0,2.188398,3.893444
2019-03-07,5.04,5.34,4.96,5.15,366359584,1886848159.0,2.073838,1.577908
2019-03-08,5.04,5.04,4.7,4.76,292707248,1434626295.0,1.656917,-7.572813
2019-03-11,4.76,4.86,4.69,4.85,174785484,837404003.0,0.989402,1.890749
2019-03-12,4.86,4.95,4.76,4.85,208292278,1013753006.0,1.179073,0.0
2019-03-13,4.84,4.92,4.75,4.83,191337527,925776520.0,1.083097,-0.412371
2019-03-14,4.8,4.92,4.7,4.75,177561635,854083474.0,1.005117,-1.656313
2019-03-15,4.84,4.87,4.73,4.76,145806435,699444784.0,0.825361,0.210531
2019-03-18,4.77,4.95,4.77,4.95,233022428,1135576114.0,1.319062,3.991587
2019-03-19,4.92,4.97,4.87,4.93,165426165,811894877.0,0.936422,-0.40404
2019-03-20,4.97,4.98,4.81,4.88,161448497,790055942.0,0.913906,-1.014193
2019-03-21,4.88,4.94,4.85,4.87,180005419,880591054.0,1.01895,-0.204923
2019-03-22,4.85,4.87,4.72,4.78,179598592,857886903.0,1.016647,-1.848043
2019-03-25,4.67,4.7,4.61,4.61,179381091,834560911.0,1.015416,-3.556487
2019-03-26,4.62,4.67,4.48,4.51,135396749,619130660.0,0.766435,-2.169195
2019-03-27,4.53,4.56,4.43,4.48,91420322,409332614.0,0.5175,-0.665193
2019-03-28,4.48,4.6,4.43,4.53,104921855,473691223.0,0.593927,1.116076
2019-03-29,4.55,4.66,4.48,4.66,146238673,670800225.0,0.827808,2.869749
2019-04-01,4.69,5.03,4.69,4.95,351861168,1720709832.0,1.991768,6.223176
2019-04-02,5.0,5.15,4.88,5.03,355946592,1773494512.0,2.014894,1.61617
2019-04-03,4.98,5.05,4.91,5.01,220552843,1101627380.0,1.248476,-0.397614
2019-04-04,5.05,5.18,5.01,5.07,272054592,1383977398.0,1.54001,1.197604
2019-04-08,5.18,5.22,5.03,5.09,296337232,1514521166.0,1.677465,0.394477
2019-04-09,5.07,5.07,4.89,4.96,219986013,1090173208.0,1.245267,-2.55403
2019-04-10,4.91,4.98,4.88,4.95,124615162,614030213.0,0.705405,-0.201618
2019-04-11,4.94,5.06,4.88,4.89,167308188,830149533.0,0.947075,-1.21212
2019-04-12,4.85,4.91,4.8,4.85,102494731,496236183.0,0.580188,-0.817995
2019-04-15,4.94,4.97,4.84,4.85,117507146,577275232.0,0.665168,0.0
2019-04-16,4.81,4.96,4.76,4.96,174453714,854890697.0,0.987524,2.268044
2019-04-17,4.96,4.96,4.89,4.91,127998457,629990208.0,0.724556,-1.008068
2019-04-18,4.91,4.94,4.81,4.82,124621937,605618237.0,0.705443,-1.832987
2019-04-19,4.79,4.85,4.77,4.85,90211707,434151864.0,0.510658,0.622401
2019-04-22,4.78,4.78,4.61,4.62,221119615,1030887488.0,1.251684,-4.742269
2019-04-23,4.62,4.64,4.51,4.55,126297065,574321210.0,0.714925,-1.515145
2019-04-24,4.56,4.61,4.51,4.6,84582047,385816771.0,0.478791,1.098895
2019-04-25,4.59,4.6,4.45,4.45,101290952,457258137.0,0.573374,-3.260872
2019-04-26,4.42,4.45,4.37,4.37,77328716,340870074.0,0.437732,-1.797751
2019-04-29,4.37,4.4,4.12,4.17,117547504,497270500.0,0.665397,-4.576655
2019-04-30,4.15,4.25,4.12,4.21,69401815,291769895.0,0.39286,0.959232
2019-05-06,4.09,4.11,3.8,3.91,130374528,518945054.0,0.738006,-7.125889
2019-05-07,3.95,4.01,3.9,3.97,77051549,305448553.0,0.436163,1.534525
2019-05-08,3.88,4.02,3.85,3.97,71282299,281633251.0,0.403505,0.0
2019-05-09,3.93,4.0,3.9,3.93,58566632,230781016.0,0.331526,-1.007556
2019-05-10,3.95,4.02,3.88,4.0,90140187,358656434.0,0.510253,1.781169
2019-05-13,3.97,3.99,3.91,3.91,54647523,215954977.0,0.309341,-2.249998
2019-05-14,3.87,3.95,3.85,3.89,50340123,196745220.0,0.284959,-0.511509
2019-05-15,3.92,3.95,3.91,3.93,52626222,206993867.0,0.297899,1.028277
2019-05-16,3.94,4.07,3.93,4.05,124067242,499842141.0,0.702303,3.053438
2019-05-17,4.06,4.07,3.9,3.92,86683571,343270458.0,0.490687,-3.209879
2019-05-20,3.9,3.94,3.82,3.94,59817155,232456335.0,0.338605,0.510204
2019-05-21,3.94,4.08,3.91,4.06,102277225,411491279.0,0.578957,3.045682
2019-05-22,4.05,4.07,3.97,4.01,76088978,305276521.0,0.430714,-1.23152
2019-05-23,4.0,4.0,3.91,3.92,54216200,213479945.0,0.3069,-2.244393
2019-05-24,3.9,3.95,3.87,3.88,52305840,204042730.0,0.296086,-1.020407
2019-05-27,3.89,3.96,3.88,3.94,50955733,200035508.0,0.288443,1.54639
2019-05-28,3.93,3.96,3.89,3.95,73498380,289144260.0,0.41605,0.253807
2019-05-29,3.93,4.03,3.91,4.0,91139487,362702548.0,0.51591,1.265822
2019-05-30,3.97,4.1,3.92,4.1,165176282,667870843.0,0.935007,2.499998
2019-05-31,4.09,4.12,4.03,4.03,108798257,443204174.0,0.61587,-1.70731
2019-06-03,4.04,4.06,3.97,3.98,64940708,260223134.0,0.367608,-1.240699
2019-06-04,3.96,4.01,3.88,3.9,64334725,252310891.0,0.364177,-2.010048
2019-06-05,3.93,3.96,3.9,3.91,41771008,163971334.0,0.236452,0.25641
2019-06-06,3.91,3.92,3.86,3.86,44753160,173858232.0,0.253333,-1.278777
2019-06-10,3.89,3.93,3.86,3.91,46563706,181486222.0,0.263581,1.295342
2019-06-11,3.91,4.04,3.89,4.04,102993527,410752626.0,0.583012,3.324805
2019-06-12,4.05,4.14,4.02,4.06,131734478,538234187.0,0.745705,0.495049
2019-06-13,4.03,4.05,3.98,4.05,68776701,276603691.0,0.389322,-0.246299
2019-06-14,4.05,4.11,4.0,4.02,77518131,314054230.0,0.438804,-0.740746
2019-06-17,3.99,4.07,3.98,4.02,47674756,191842390.0,0.269871,0.0
2019-06-18,4.0,4.02,3.92,3.96,63115916,249724647.0,0.357278,-1.492536
2019-06-19,4.02,4.05,3.99,4.0,58394493,234222899.0,0.330552,1.0101
2019-06-20,4.02,4.07,3.98,4.06,95548782,385405089.0,0.54087,1.499999
2019-06-21,4.05,4.15,4.04,4.11,141210386,579826341.0,0.799345,1.231532
2019-06-24,4.12,4.21,4.09,4.16,124122826,514578824.0,0.702618,1.216538
2019-06-25,4.15,4.2,4.07,4.16,123435661,511675163.0,0.698728,0.0
2019-06-26,4.12,4.14,4.08,4.08,69344856,284602550.0,0.392538,-1.923075
2019-06-27,4.09,4.12,4.08,4.1,56397592,231421909.0,0.319248,0.490196
2019-06-28,4.0,4.01,3.95,3.96,55249241,219871800.0,0.312747,-0.751879
2019-07-01,4.01,4.03,4.0,4.03,78566384,315761474.0,0.444738,1.767681
2019-07-02,4.03,4.14,3.99,4.11,136195096,554303045.0,0.770955,1.98511
2019-07-03,4.1,4.1,4.03,4.03,89710522,363588850.0,0.507821,-1.94647
2019-07-04,4.04,4.06,4.01,4.02,55184713,222599835.0,0.312382,-0.248145
2019-07-05,4.02,4.03,3.99,4.01,31510575,126263584.0,0.178371,-0.24875
2019-07-08,3.99,4.0,3.88,3.89,70289461,275623211.0,0.397885,-2.992522
2019-07-09,3.89,3.91,3.86,3.9,39744204,154274538.0,0.224979,0.257069
2019-07-10,3.91,3.92,3.85,3.86,30727511,118975731.0,0.173938,-1.025646
