日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2019-01-02,62.49,62.58,59.69,59.8,4241653,257682033.0,2.045184,-4.043646
2019-01-03,59.79,60.98,59.02,59.2,3739603,224237190.0,1.803112,-1.003342
2019-01-04,58.13,61.35,57.55,60.73,4828528,289201594.0,2.328155,2.584457
2019-01-07,61.2,63.8,60.9,62.9,5651963,354243514.0,2.725188,3.573196
2019-01-08,62.51,62.52,60.95,61.2,3707417,228363233.0,1.787593,-2.702704
2019-01-09,61.5,63.91,61.01,62.12,5718728,357674559.0,2.75738,1.503265
2019-01-10,62.13,62.5,61.09,61.12,3207693,197833527.0,1.546643,-1.609788
2019-01-11,61.2,61.78,61.0,61.23,2455050,150560747.0,1.183743,0.179975
2019-01-14,61.23,61.75,58.2,58.48,4811542,285681184.0,2.319965,-4.491262
2019-01-15,58.47,60.18,58.05,60.1,4084553,243198797.0,1.969435,2.770176
2019-01-16,60.2,62.49,60.2,60.8,4900961,300271203.0,2.36308,1.164727
2019-01-17,61.04,61.61,59.88,60.24,3271208,198805817.0,1.577267,-0.921049
2019-01-18,60.6,61.56,59.87,61.32,4140474,251952370.0,1.996398,1.792825
2019-01-21,62.1,67.45,61.32,67.45,13275615,860145637.0,6.401059,9.996734
2019-01-22,67.4,67.4,65.16,66.0,7456368,493331157.0,3.595212,-2.149736
2019-01-23,65.65,65.75,63.84,65.0,5237659,338560465.0,2.525424,-1.515152
2019-01-24,64.43,70.87,64.43,68.2,10789273,733455702.0,5.202227,4.923072
2019-01-25,68.06,71.4,67.64,69.72,9817784,689434894.0,4.733808,2.228745
2019-01-28,71.0,72.88,69.58,69.9,7887596,561194340.0,3.803136,0.258176
2019-01-29,68.27,70.09,66.88,69.2,6324181,431905630.0,3.049309,-1.001437
2019-01-30,68.98,69.58,66.8,67.12,4279562,291088727.0,2.063462,-3.005772
2019-01-31,67.18,69.9,67.18,67.69,4766575,326639093.0,2.298283,0.849225
2019-02-01,68.47,71.3,68.13,71.06,5173057,364134584.0,2.494275,4.978571
2019-02-11,71.04,75.6,70.75,75.22,6379066,473328270.0,3.075773,5.854213
2019-02-12,74.9,75.3,73.55,74.14,5543177,411684366.0,2.672735,-1.435791
2019-02-13,74.53,78.69,74.53,75.35,8219939,630077860.0,3.96338,1.632046
2019-02-14,75.27,77.88,73.88,77.1,5792298,440984527.0,2.792853,2.322495
2019-02-15,76.16,77.5,74.66,74.7,5299719,401911578.0,2.555348,-3.112843
2019-02-18,76.1,78.7,74.48,78.6,7922965,612292217.0,3.820189,5.220886
2019-02-19,79.5,80.78,77.03,78.39,7083040,559510149.0,3.415206,-0.267174
2019-02-20,78.0,78.29,75.18,76.5,6026217,461551298.0,2.905641,-2.411021
2019-02-21,76.15,79.89,76.15,77.11,7516728,589196585.0,3.624315,0.797386
2019-02-22,76.45,81.22,75.18,81.21,11321896,876794381.0,5.459041,5.317078
2019-02-25,86.66,89.33,85.5,89.33,11744919,1034045266.0,5.663008,9.998773
2019-02-26,89.36,98.25,89.36,93.11,12116248,1133896875.0,5.842051,4.2315
2019-02-27,92.7,95.58,90.5,92.6,7406703,685248918.0,3.571265,-0.547741
2019-02-28,91.22,94.88,91.18,92.0,4961481,461513179.0,2.392261,-0.647946
2019-03-01,93.5,94.25,89.86,92.21,5084884,465450429.0,2.451761,0.22826
2019-03-04,96.2,101.4,95.6,96.71,9673985,944626431.0,4.664473,4.880165
2019-03-05,97.0,106.38,95.8,106.38,9632659,993704962.0,4.644547,9.998964
2019-03-06,110.0,110.0,103.56,106.95,8711166,930198007.0,4.200234,0.535815
2019-03-07,104.1,105.5,100.7,104.5,10303536,1061284571.0,4.968021,-2.290787
2019-03-08,102.0,114.95,98.5,105.9,13508143,1479760368.0,6.513176,1.339714
2019-03-11,107.53,113.88,104.98,108.11,10794561,1175591721.0,5.204777,2.086874
2019-03-12,110.99,117.5,108.88,114.0,9651985,1094139163.0,4.653865,5.448154
2019-03-13,112.08,114.9,102.6,104.5,10509157,1134554075.0,5.067165,-8.333334
2019-03-14,101.0,102.5,95.21,100.5,9981227,988861728.0,4.812615,-3.827751
2019-03-15,100.7,104.0,97.39,98.0,7006408,707621428.0,3.378256,-2.487562
2019-03-18,99.75,101.98,96.83,101.79,5237047,522284869.0,2.525129,3.867348
2019-03-19,101.78,109.0,100.79,104.59,7308156,769628732.0,3.523749,2.750757
2019-03-20,102.03,105.65,99.1,101.38,5060986,513710321.0,2.440239,-3.069126
2019-03-21,101.35,104.2,100.13,102.19,5547977,568568587.0,2.675049,0.798979
2019-03-22,107.0,107.0,102.6,104.0,6861001,718994315.0,3.308146,1.771208
2019-03-25,100.2,105.96,99.05,102.9,5560731,574789231.0,2.681199,-1.057691
2019-03-26,103.3,105.5,99.51,100.0,5074289,519894757.0,2.446653,-2.818272
2019-03-27,101.69,101.95,95.31,98.1,5652999,555820122.0,2.725688,-1.900002
2019-03-28,98.05,102.76,97.23,98.3,5940457,593139053.0,2.86429,0.203878
2019-03-29,98.52,101.99,94.81,101.59,7802869,769930826.0,3.762283,3.34689
2019-04-01,102.6,106.3,102.53,104.2,7912582,826158872.0,3.815183,2.569151
2019-04-02,105.15,110.73,103.45,108.21,8921416,957232000.0,4.301609,3.848371
2019-04-03,108.21,108.21,108.21,108.21,0,0.0,,0.0
2019-04-04,115.0,119.03,111.0,119.03,13234014,1545206209.0,6.381,9.999076
2019-04-08,118.0,118.39,109.31,112.27,8731065,988730878.0,4.209828,-5.679242
2019-04-09,111.13,114.78,109.2,110.35,4595069,510338521.0,2.215589,-1.710161
2019-04-10,109.51,109.84,105.6,107.8,4550405,487677753.0,2.194053,-2.310825
2019-04-11,108.1,109.11,102.6,103.95,4491238,471015456.0,2.165525,-3.571434
2019-04-12,103.71,104.88,100.57,102.0,3729090,381757256.0,1.798043,-1.875899
2019-04-15,105.0,105.77,99.01,99.34,4007670,410160596.0,1.932365,-2.607847
2019-04-16,99.5,104.0,96.3,103.3,6652438,666693204.0,3.207584,3.986316
2019-04-17,102.81,105.51,101.69,102.22,4198156,433707022.0,2.024211,-1.0455
2019-04-18,101.82,101.82,97.3,99.57,4697594,466081221.0,2.265023,-2.592449
2019-04-19,99.56,100.5,97.58,99.1,2938787,290017896.0,1.416985,-0.472031
