日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2022-07-01,31.85,38.22,31.85,38.22,386332,14718550.04,1.9317,44.009
2022-07-04,42.04,42.04,42.04,42.04,73951,3108900.04,0.3698,9.9948
2022-07-05,46.24,46.24,46.24,46.24,64300,2973232.0,0.3215,9.9905
2022-07-06,50.86,50.86,50.86,50.86,116136,5906676.96,0.5807,9.9913
2022-07-07,55.95,55.95,55.95,55.95,300293,16801393.35,1.5015,10.0079
2022-07-08,61.55,61.55,61.55,61.55,316894,19504825.7,1.5845,10.0089
2022-07-11,67.69,67.69,55.4,55.4,12220961,744439996.69,61.1048,-9.9919
2022-07-12,49.86,50.75,49.86,49.86,3904562,195151274.81,19.5228,-10.0
2022-07-13,47.0,48.18,45.13,45.17,6916736,319656453.14,34.5837,-9.4063
2022-07-14,45.02,46.2,45.02,45.6,4026097,183801714.42,20.1305,0.952
2022-07-15,45.1,50.16,45.06,50.16,5818544,281413505.25,29.0927,10.0
2022-07-18,50.06,53.98,48.6,50.6,6160784,316081103.89,30.8039,0.8772
2022-07-19,49.8,51.77,48.85,50.32,3854347,192910117.19,19.2717,-0.5534
2022-07-20,49.8,53.43,49.72,51.63,4602290,238959352.22,23.0115,2.6033
2022-07-21,50.66,56.79,50.55,56.79,4753170,259056683.7,23.7659,9.9942
2022-07-22,56.51,60.01,52.76,58.6,7577074,418824814.67,37.8854,3.1872
2022-07-25,56.32,59.39,55.55,56.67,5140968,296613933.58,25.7048,-3.2935
2022-07-26,56.04,58.8,54.45,55.03,4213985,236578508.32,21.0699,-2.8939
2022-07-27,54.03,57.13,52.93,55.85,5300727,289140859.68,26.5036,1.4901
2022-07-28,56.35,57.58,55.18,57.37,5132445,289662630.49,25.6622,2.7216
2022-07-29,58.52,63.11,57.95,63.11,5934134,363131969.06,29.6707,10.0052
2022-08-01,65.66,69.4,60.61,65.3,7794622,508834745.3,38.9731,3.4701
2022-08-02,65.3,71.83,64.8,71.83,6650588,457465620.3,33.2529,10.0
2022-08-03,70.16,79.01,68.8,73.87,6820391,512481617.67,34.102,2.84
2022-08-04,74.0,77.84,69.3,74.55,5634455,414601974.39,28.1723,0.9205
2022-08-05,73.66,82.01,71.96,81.32,6311063,496066404.3,31.5553,9.0812
2022-08-08,79.0,79.0,73.19,73.19,5649951,422449352.84,28.2498,-9.9975
2022-08-09,70.8,75.0,68.4,74.5,4799994,340000619.03,24.0,1.7899
2022-08-10,72.01,76.8,72.0,72.04,3938761,293131629.82,19.6938,-3.302
2022-08-11,71.75,74.8,71.75,71.88,3559316,260223627.16,17.7966,-0.2221
2022-08-12,71.9,72.8,67.8,67.8,4034476,282578336.53,20.1724,-5.6761
2022-08-15,67.57,73.1,67.51,71.33,3034606,212586032.28,15.173,5.2065
2022-08-16,71.64,74.47,70.0,72.07,2641600,191703504.04,13.208,1.0374
2022-08-17,73.45,73.98,68.7,69.85,2691052,188674675.51,13.4553,-3.0803
2022-08-18,68.58,71.2,68.58,70.76,2005267,140699800.24,10.0263,1.3028
2022-08-19,70.2,73.58,70.02,71.21,3301880,238151747.03,16.5094,0.636
2022-08-22,70.01,70.5,64.33,65.13,3600740,237854256.31,18.0037,-8.5381
2022-08-23,64.65,67.58,63.83,65.1,2798905,183129941.66,13.9945,-0.0461
2022-08-24,64.65,65.19,60.69,60.96,2819642,176110901.94,14.0982,-6.3594
2022-08-25,61.0,62.16,57.8,59.0,2677295,158375273.84,13.3865,-3.2152
2022-08-26,59.5,59.9,56.3,56.84,1984338,114863664.0,9.9217,-3.661
2022-08-29,55.8,57.45,55.35,56.23,1580400,89023860.0,7.902,-1.0732
2022-08-30,56.36,56.9,55.0,55.57,1494520,83283835.8,7.4726,-1.1738
2022-08-31,55.15,55.78,52.4,53.27,1942970,104076828.5,9.7149,-4.1389
2022-09-01,53.44,54.69,51.4,51.75,1780821,93631326.83,8.9041,-2.8534
2022-09-02,51.85,56.93,51.32,56.93,2860021,157043537.7,14.3001,10.0097
2022-09-05,57.01,58.84,55.13,57.53,4018809,230632211.25,20.094,1.0539
2022-09-06,57.59,59.43,56.8,58.75,3164300,184036530.0,15.8215,2.1206
2022-09-07,58.3,61.7,58.1,59.0,3634900,218355282.04,18.1745,0.4255
2022-09-08,58.2,58.84,57.36,57.4,2383408,138084647.36,11.917,-2.7119
2022-09-09,57.4,58.27,55.46,56.0,1783684,100314934.53,8.9184,-2.439
2022-09-13,55.99,57.99,55.6,56.45,1416866,80362281.17,7.0843,0.8036
2022-09-14,54.5,57.7,53.01,57.35,2157740,121680332.25,10.7887,1.5943
2022-09-15,57.38,57.8,54.21,54.41,2011000,110846147.83,10.055,-5.1264
2022-09-16,54.22,55.5,54.22,54.5,1234700,67735148.04,6.1735,0.1654
2022-09-19,53.77,55.44,52.3,53.1,1405700,74970893.0,7.0285,-2.5688
2022-09-20,53.12,55.3,52.32,54.23,1459206,78845404.02,7.296,2.1281
2022-09-21,53.99,54.85,52.38,53.79,1119237,60053078.43,5.5962,-0.8114
2022-09-22,53.3,55.89,53.28,54.3,1206100,66001472.99,6.0305,0.9481
2022-09-23,54.47,54.75,50.46,50.85,2312900,119462824.0,11.5645,-6.3536
2022-09-26,50.03,51.23,49.61,49.91,976568,49034438.29,4.8828,-1.8486
2022-09-27,49.85,54.9,49.85,54.9,1652700,88366696.0,8.2635,9.998
2022-09-28,54.88,55.9,52.42,52.94,2162600,116200304.0,10.813,-3.5701
2022-09-29,53.69,53.76,52.0,52.75,1183300,62646041.02,5.9165,-0.3589
2022-09-30,52.43,52.73,50.3,50.49,1130200,57666506.0,5.651,-4.2844
2022-10-10,50.55,50.97,46.5,46.96,1480900,71323989.0,7.4045,-6.9915
2022-10-11,47.33,50.2,46.43,48.48,1447834,69710458.14,7.2392,3.2368
2022-10-12,47.89,52.13,47.5,51.34,2076771,104453817.26,10.3839,5.8993
2022-10-13,50.09,52.6,49.91,51.5,1610347,83341496.21,8.0517,0.3116
2022-10-14,51.94,52.8,51.05,52.22,1147900,59589935.0,5.7395,1.3981
2022-10-17,51.87,54.0,51.86,53.29,1127500,59779300.0,5.6375,2.049
2022-10-18,53.1,53.29,51.55,52.19,1040200,54312470.0,5.201,-2.0642
2022-10-19,52.31,53.2,51.52,51.52,890200,46459318.0,4.451,-1.2838
2022-10-20,51.3,56.67,51.2,56.67,3606247,196838952.82,18.0312,9.9961
2022-10-21,56.56,56.56,52.33,54.08,4130721,223620263.8,20.6536,-4.5703
2022-10-24,54.13,55.36,53.54,54.0,2598851,142045341.29,12.9943,-0.1479
2022-10-25,53.77,54.75,51.6,52.65,2222674,117070698.86,11.1134,-2.5
