日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2020-08-12,42.0,47.0,39.4,39.93,31704492.0,1328809311.0,76.3516,269.0388,,,,,,,,,,,,,,,39.93,39.93,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,7.600000000000001,,,,,,,,,,
2020-08-13,37.9,39.7,33.0,35.05,22665472.0,816443417.0,54.5836,-12.2214,,,,,,,,,,,,,,,39.17923076923076,39.568518518518516,,,,-0.3892877492877531,-0.07785754985755063,-0.622860398860405,-0.3892877492877531,-0.05989042296734664,-0.6587946526408129,,,,,,,,,,7.4781818181818185,,,,,,,,,,27.1573332186194
2020-08-14,35.5,38.6,34.93,36.53,18471848.0,677852778.0,44.4844,4.2225,,,,,,,,,,,,,,,38.771656804733716,39.34344307270233,,,,-0.5717862679686121,-0.17664329347976293,-0.7902859489776983,-0.5717862679686121,-0.13864362989061826,-0.8662852761559876,,,,,,,,,,6.785785123966942,,,,,,,,,,151.22252979927507
2020-08-17,34.51,37.99,33.6,36.8,16960832.0,598072009.0,40.8455,0.7391,,,,,,,,,,,,,,,38.468324988620836,39.15503988213179,,,,-0.6867148935109526,-0.2786576134860009,-0.8161145600499035,-0.6867148935109526,-0.22296228583220817,-0.9275052153574889,,,,,,,,,,6.350187828700225,,,,,,,,,,107.64192718296484
2020-08-18,36.53,38.62,35.72,37.99,15016985.0,560404700.0,36.1643,3.2337,37.260000000000005,,,,,,,37.260000000000005,,,,,,,38.394736528833015,39.068740631603504,,,,-0.674004102770489,-0.3577269113428985,-0.6325543828551811,-0.674004102770489,-0.2923533345919437,-0.7633015363570907,,,,,,,,,,5.722880950754729,,,0.019592055823939795,,,,,,,137.4721575743861
2020-08-19,37.65,41.58,37.45,37.45,16133619.0,634744641.0,38.8534,-1.4214,36.763999999999996,,,,,,,36.763999999999996,,,,,,,38.249392447474094,38.948833918151394,35.16746411483257,,,-0.6994414706773,-0.4260698232097788,-0.5467432949350424,-0.6994414706773,-0.3549822786050754,-0.6889183841444492,,,,,,,,,,5.433266232435686,,,0.018659558263518852,,,,,,,86.66131700917559
2020-08-20,35.01,36.0,32.2,32.96,16187050.0,552641376.36,38.9821,-11.9893,36.346000000000004,,,,,,,36.346000000000004,,,,,,,37.43563976324731,38.50521659088092,22.879377431906647,,,-1.069576827633611,-0.5547712240945453,-1.0296112070781316,-1.069576827633611,-0.4649199015325425,-1.2093138522021372,,,,,,,,,,5.399945099265562,,,-0.09316018268860404,,,,,,,27.88391883381957
2020-08-21,33.0,33.92,31.54,31.99,9619170.0,315232619.92,23.1651,-2.943,35.438,,,,,,,35.438,,,,,,,36.59784903044003,38.02260795451937,32.88590604026848,,,-1.4247589240793417,-0.7287687640915046,-1.3919803199756742,-1.4247589240793417,-0.6125874434628193,-1.6243429612330447,,,,,,,,,,4.850864172126369,,,-0.09729668717196241,,,,,,,74.17718886331704
2020-08-24,32.01,32.2,29.51,29.73,8064350.0,243663214.43,19.4208,-7.0647,34.024,,,,,,,34.024,,,,,,,35.5412568719108,37.408340698629054,15.02057613168725,,,-1.8670838267182575,-0.9564317766168552,-1.8213041002028045,-1.8670838267182575,-0.8055868870405791,-2.1229938793553567,,,,1.2578616352201195,1.2578616352201195,1.2578616352201197,,,,4.457979777194302,,,-0.12620503174229955,,,,,,,48.06253697007498
2020-08-25,30.16,30.89,29.49,30.5,6410645.0,193635933.0,15.4383,2.59,32.525999999999996,34.893,,,,,,32.525999999999996,34.893,,,,,,34.76567889161683,36.89661175798987,19.17808219178086,,,-2.130932866373037,-1.1913319945680916,-1.8792017436098907,-2.130932866373037,-1.009486268476342,-2.24289319579339,,,,3.623244950086095,2.0463227401754445,6.7770893699073955,5.768132495716741,5.768132495716741,5.76813249571674,3.901983454068065,,-94.23186750428326,-0.06228863063395427,-0.12589917748545557,,,,,,129.13658620641175
