指标,信号类型,强度,描述,当前值
BOLL,neutral,0.0%,BOLL(20-2)价格在通道中部,"{'close': np.float64(64.29), 'upper': np.float64(76.71671795400005), 'middle': np.float64(66.87299999999999), 'lower': np.float64(57.029282045999935)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30）,"{'close': np.float64(64.29), 'ma_values': {5: np.float64(61.65400000000001), 10: np.float64(63.062), 20: np.float64(66.87299999999999), 30: np.float64(70.107)}}"
VOLUME,buy,81.8%,"放量上涨（量比:1.6, 涨幅:3.0%）","{'latest_volume': np.float64(1079081.0), 'avg_volume': np.float64(659750.25), 'price_change': np.float64(2.9958346683755277)}"
