指标,信号类型,强度,描述,当前值
BOLL,neutral,0.0%,BOLL(20-2)价格接近上轨（偏强）,"{'close': np.float64(614.2), 'upper': np.float64(627.4314613307278), 'middle': np.float64(566.5830000000001), 'lower': np.float64(505.73453866927247)}"
MA,sell,60.0%,均线空头排列（5 > 10 > 20 > 30）,"{'close': np.float64(614.2), 'ma_values': {5: np.float64(611.482), 10: np.float64(585.9330000000001), 20: np.float64(566.5830000000001), 30: np.float64(561.2673333333333)}}"
VOLUME,neutral,0.0%,成交量无特殊信号,"{'latest_volume': np.int64(26276923), 'avg_volume': np.float64(32546876.65), 'price_change': np.float64(-2.2597071928707724)}"
