指标,信号类型,强度,描述,当前值
RSI,buy,66.0%,RSI(6)超卖 (10.2 < 30),10.192444761225985
BOLL,neutral,0.0%,BOLL(20-2)价格接近下轨（偏弱）,"{'close': np.float64(95.51), 'upper': np.float64(109.87503300395656), 'middle': np.float64(101.5975), 'lower': np.float64(93.31996699604343)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30）,"{'close': np.float64(95.51), 'ma_values': {5: np.float64(99.08200000000001), 10: np.float64(100.974), 20: np.float64(101.5975), 30: np.float64(103.10433333333334)}}"
VOLUME,neutral,0.0%,成交量无特殊信号,"{'latest_volume': np.int64(28113425), 'avg_volume': np.float64(39664669.15), 'price_change': np.float64(-3.035532994923853)}"
