指标,信号类型,强度,描述,当前值
BOLL,neutral,0.0%,BOLL(20-2)价格在通道中部,"{'close': np.float64(146.55), 'upper': np.float64(179.84395361359978), 'middle': np.float64(155.202), 'lower': np.float64(130.56004638640022)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30）,"{'close': np.float64(146.55), 'ma_values': {5: np.float64(142.34), 10: np.float64(144.376), 20: np.float64(155.202), 30: np.float64(158.491)}}"
VOLUME,buy,60.7%,"放量上涨（量比:1.2, 涨幅:3.4%）","{'latest_volume': np.float64(102534.0), 'avg_volume': np.float64(84444.5), 'price_change': np.float64(3.422724064925916)}"
