日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,BOLL_UPPER26-2,BOLL_MIDDLE26-2,BOLL_LOWER26-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2020-07-20,250.0,212.4,295.0,205.6,24237613.0,,,,,,,,,,,,,,,212.4,212.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,89.4,,,,,,,,,,
2020-07-21,208.0,274.0,285.6,202.0,17584895.0,,,,,,,,,,,,,,,221.87692307692308,216.962962962963,,,,4.913960113960087,0.9827920227920175,7.862336182336139,4.913960113960087,0.7559938636861673,8.31593250054784,,,,,,,,,,,,,88.34545454545454,,,,,,,,,,1276.322731363633
2020-07-22,260.0,281.0,284.33,257.77,12701827.0,,,,,,,,,,,,,,,230.97278106508875,221.7064471879287,,,,9.266333877160065,2.639500393665627,13.253666966988876,9.266333877160065,2.065276942682152,14.402113868955826,,,,,,,,,,,,,77.11173553719007,,,,,,,,,,128.6937840485778
2020-07-23,274.92,281.5,297.77,268.0,9920207.0,,,,,,,,,,,,,,,238.7461993627674,226.13559924808212,,,,12.610600114685298,4.633720337869562,15.953759553631471,12.610600114685298,3.6876343537595586,17.845931521851476,,,,,,,,,,,,,68.50414725770096,,,,,,,,,,101.79367478547601
2020-07-24,273.0,259.33,276.0,240.44,11385255.0,261.646,,,,,,,261.646,,,,,,,241.91293792234165,228.5944437482242,,,,13.318494174117461,6.370675105119142,13.895638137996638,13.318494174117461,5.169305095353082,16.29837815752876,,,,,,,,,,,,,63.514302301755336,,,-0.008851654525580482,,,,,,,44.02948529210421
2020-07-27,252.28,234.01,257.9,227.94,8338869.0,265.96799999999996,,,,,,,265.96799999999996,,,,,,,240.69710131890446,228.99559606317055,59.267518655116206,,,11.701505255733906,7.436841135242095,8.529328240983622,11.701505255733906,6.1742589661809015,11.05449257910601,,,,,,,,,,,,,57.67352006507254,,,-0.12015731215785348,,,,,,,35.79452186936052
2020-07-28,236.0,238.64,243.8,227.5,5977562.0,258.896,,,,,,,258.896,,,,,,,240.38062419291916,229.70999635478753,60.82329648572842,,,10.670627838131622,8.08359847582,5.174058724623244,10.670627838131622,6.866008023404089,7.609239629455066,,,,,,,,,,,,,50.15106187142299,,,-0.0782399110067364,,,,,,,121.64331234738428
2020-07-29,234.53,241.5,245.78,229.66,5473260.0,250.996,,,,,,,250.996,,,,,,,240.552835855547,230.5833299581366,23.991677336747756,,,9.969505897410386,8.460779960138078,3.0174518745446157,9.969505897410386,7.343469234789674,5.252073325241424,,,,,,,,,,,,,43.963596076618806,,,-0.0378332722433824,,,,,,,112.652010591896
2020-07-30,240.0,243.17,254.99,236.36,6180875.0,243.32999999999998,,,,,,,243.32999999999998,,,,,,,240.95547649315515,231.51567588716352,16.902887139107605,,,9.439800605991621,8.656584089308787,1.5664330333656693,9.439800605991621,7.665981753436128,3.5476377051109864,,,,,,,42.98840973164874,42.98840973164874,42.98840973164873,,,,39.357487699051745,,,-0.0006575432540171643,,,,,,,107.13431496051649
2020-07-31,238.01,249.6,255.55,237.1,5629413.0,241.38400000000001,251.51500000000001,,,,,,241.38400000000001,251.51500000000001,,,,,,242.2854031865159,232.85525545107734,24.714648065947998,,,9.430147735438567,8.811296818534743,1.2377018338076482,9.430147735438567,7.937391904513427,2.98551166185028,,,,,,,45.22641049737217,43.73440998688989,48.21041151833674,49.70241202881905,49.70241202881905,49.70241202881904,35.556126299224154,,-50.297587971180945,0.03403705299439888,-0.0076138600083494835,,,,,,129.8212726493297
2020-08-03,250.01,249.5,257.88,247.01,6972166.0,244.48200000000003,255.225,,,,,,244.48200000000003,255.225,,,,,,243.39534115782115,234.0881994917383,38.015118263838104,,,9.307141666082856,8.910465788044366,0.79335175607698,9.307141666082856,8.148122637062569,2.3180380580405746,,,,,,,40.58687790570033,42.685232626493374,36.390168464114225,49.66760641815462,49.69081015859757,49.62119893726873,31.067739699365216,,-50.40200480317426,0.020525028427450576,-0.02243118816730334,,,,,,99.60008051274302
2020-08-04,250.97,235.0,252.88,232.99,5908943.0,243.754,251.325,,,,,,243.754,251.325,,,,,,242.10375021046406,234.15574027012804,51.63961576681022,57.698596539038014,,7.948009940336021,8.717974618502698,-1.539929356333353,7.948009940336021,8.117336068335408,-0.3386522559987739,,,,,,,30.615624594977113,38.662029949321294,14.522813886288759,36.66944360327997,45.35035464015838,19.30762152952316,29.035423390389717,,-89.32688202646933,-0.03591325680809337,-0.06495573460658506,,,,,,54.950686586093575
2020-08-05,246.0,236.92,246.0,236.79,4082217.0,242.83799999999997,246.91699999999997,,,,,,242.83799999999997,246.91699999999997,,,,,,241.30625017808495,234.36050025011855,46.87045123726347,58.24478816408876,,6.9457499279664034,8.36352968039544,-2.8355595048580717,6.9457499279664034,7.937092046740176,-1.982684237547545,,,,,,,26.884643200775113,34.73623436647257,11.181460869380189,28.914774460438153,39.87182791358497,7.000667554144513,25.756255501227947,,-86.5945638252455,-0.024370156235844386,-0.04048728925104382,,,,,,108.47723753144862
2020-08-06,233.96,243.83,247.45,231.8,5013107.0,242.96999999999997,243.15,,,,,,242.96999999999997,243.15,,,,,,241.6945193814565,235.0619446760357,53.69489375198226,33.95383469843635,,6.632574705420808,8.017338685400514,-2.7695279599594116,6.632574705420808,7.736397071152581,-2.207644731463546,,,,,,,35.8287972215694,35.100421984838185,37.28554769503184,30.499884004553284,36.74784661057441,18.00395879251103,23.918754501004678,,-66.32989690721647,0.0035395316294194435,0.0027966275961341016,,,,,,133.30736586858512
2020-08-07,240.98,227.44,240.98,223.37,4853751.0,238.538,239.96099999999996,,,,,,238.538,239.96099999999996,,,,,,239.50151639969397,234.49735618151453,32.994594594594616,24.100580270793046,,5.004160218179436,7.414702991956299,-4.821085547553725,5.004160218179436,7.316052939925943,-4.623785443493015,,,,,,,27.817092477858786,32.672645482511726,18.105986468552913,24.262206673949702,32.585966631699506,7.614686758450091,23.289890046276554,,-88.21314798725747,-0.04652508195759172,-0.052179312471609805,,,,,,49.86514430828715
2020-08-10,219.99,222.5,225.89,218.0,2517723.0,233.138,238.81000000000003,,,,,,233.138,238.81000000000003,,,,,,236.88589849204874,233.60866313103196,19.727435210008963,22.644658753709223,,3.2772353610167784,6.587209465768395,-6.619948209503233,3.2772353610167784,6.694696389324534,-6.834922056615511,,,,,,,22.306012170127193,29.217101045050214,8.483834420281156,19.93608830085447,28.36934052141783,3.06958385972775,20.771728219680814,,-88.716148445336,-0.04562962708781925,-0.06829697248858937,,,,,,80.284496182854
2020-08-11,220.88,221.49,226.3,219.1,2243543.0,230.436,237.09499999999997,,,,,,230.436,237.09499999999997,,,,,,234.51729872404124,232.71098438058516,19.334355156557933,28.17258883248732,,1.80631434345608,5.631030441305932,-7.6494321956997045,1.80631434345608,5.942637613037079,-8.272646539161999,,,,,,,17.787759367179422,25.407320485759953,2.5486371300183635,16.207810120997607,24.31549705461109,-0.0075637462293585145,18.30414127064794,,-91.24874623871612,-0.03882205905327291,-0.06581749931462057,,,,,,95.55228526139112
2020-08-12,220.33,217.76,222.0,213.5,2028145.0,226.60399999999998,234.721,,,,,,226.60399999999998,234.721,,,,,,231.93925276649645,231.60350405609736,25.30085959885389,37.51728376094639,,0.3357487103990877,4.571974095124563,-8.472450769450951,0.3357487103990877,5.080039320323542,-9.488581219848909,,,,,,,15.058145722028277,21.957595564516062,1.259246037052705,14.004846224573734,20.878613444598642,0.257311784523921,16.521570130530133,,-90.40108156827402,-0.03902843727383451,-0.07226025792323658,,,,,,84.38006336363378
2020-08-13,219.0,212.5,219.6,212.0,1744022.0,220.33800000000002,231.654,,,,,,220.33800000000002,231.654,,,,,,228.94859849472778,230.18842968157162,18.070083682008416,30.112598904443104,,-1.239831186843844,3.409613038730882,-9.298888451149452,-1.239831186843844,4.107751549990097,-10.695165473667883,,,,,,,10.402030306984269,18.105740478672132,-5.005390036391457,9.699830642014575,17.152352510403954,-5.205213094764183,14.899466470433744,,-98.91020052310375,-0.03557262024707505,-0.08268365752372071,,,,,,78.30838462532638
2020-08-14,212.33,212.68,213.9,207.5,1653598.0,217.38600000000002,227.962,239.7385,,,,,217.38600000000002,227.962,239.7385,,,,,226.4457371878466,228.89150896441816,0.5712472231037964,27.141497461928935,,-2.4457717765715756,2.2385360756703907,-9.368615704483933,-2.4457717765715756,3.0995171920575326,-11.090577937258217,282.72872864497657,239.7385,196.74827135502338,,,,10.73959358499995,15.650358180781407,0.9180643934370352,9.893839721380107,14.732848247396007,0.2158226693483094,13.354108930354881,-146.7998445131742,-89.71814211988884,-0.021648128214328505,-0.06703748870425766,-0.1128667277053956,,,,,100.85029491654336
2020-08-17,213.0,219.08,219.8,209.68,2056219.0,216.702,224.92000000000002,240.07250000000005,,,,,216.702,224.92000000000002,240.07250000000005,,,,,225.3125468512548,228.1647305226094,30.576208178438705,32.22664895971671,,-2.852183671354595,1.2203921262653936,-8.145151595239977,-2.852183671354595,2.1838709053787437,-10.072109153466677,282.2648110356178,240.07250000000005,197.88018896438226,,,,16.821806653662893,16.040841005075237,18.38373795083821,15.101842905189216,14.855846466660411,15.593835782246824,12.766089124835812,-107.84570569559033,-74.48215072719256,0.010973595075264716,-0.0259647874799929,-0.08744233512793023,,,,,134.51193064414826
