序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300762,上海瀚讯,5.82,169.99,3666.68,2025年1季度股票投资明细
2,600118,中国卫星,5.8,139.02,3654.84,2025年1季度股票投资明细
3,600879,航天电子,4.84,340.78,3049.98,2025年1季度股票投资明细
4,601698,中国卫通,4.72,155.97,2971.23,2025年1季度股票投资明细
5,300627,华测导航,4.33,65.96,2727.45,2025年1季度股票投资明细
6,603236,移远通信,4.27,30.4,2689.79,2025年1季度股票投资明细
7,688568,中科星图,4.08,47.26,2570.75,2025年1季度股票投资明细
8,002025,航天电器,3.76,42.57,2366.89,2025年1季度股票投资明细
9,688418,震有科技,3.48,72.68,2191.96,2025年1季度股票投资明细
10,002465,海格通信,3.38,190.56,2128.56,2025年1季度股票投资明细
11,601698,中国卫通,5.47,149.89,3068.25,2025年2季度股票投资明细
12,600118,中国卫星,5.14,100.96,2884.43,2025年2季度股票投资明细
13,600879,航天电子,5.02,269.0,2816.43,2025年2季度股票投资明细
14,002465,海格通信,4.93,198.24,2763.47,2025年2季度股票投资明细
15,300762,上海瀚讯,4.82,119.55,2705.42,2025年2季度股票投资明细
16,688418,震有科技,4.79,101.52,2686.25,2025年2季度股票投资明细
17,300342,天银机电,3.94,125.31,2210.47,2025年2季度股票投资明细
18,688270,臻镭科技,3.93,47.3,2202.37,2025年2季度股票投资明细
19,688311,盟升电子,3.46,45.04,1938.83,2025年2季度股票投资明细
20,300455,航天智装,3.41,132.91,1913.9,2025年2季度股票投资明细
21,600345,长江通信,3.1,67.42,1740.11,2025年2季度股票投资明细
22,603131,上海沪工,3.09,97.69,1731.1,2025年2季度股票投资明细
23,300627,华测导航,3.08,49.32,1726.13,2025年2季度股票投资明细
24,603236,移远通信,3.05,19.92,1709.14,2025年2季度股票投资明细
25,300102,乾照光电,2.94,142.53,1649.07,2025年2季度股票投资明细
26,688333,铂力特,2.93,27.63,1645.39,2025年2季度股票投资明细
27,002025,航天电器,2.9,31.69,1629.18,2025年2季度股票投资明细
28,688568,中科星图,2.85,44.42,1599.47,2025年2季度股票投资明细
29,688375,国博电子,2.54,23.7,1422.16,2025年2季度股票投资明细
30,688582,芯动联科,2.3,19.19,1289.4,2025年2季度股票投资明细
31,600435,北方导航,2.0,72.13,1124.51,2025年2季度股票投资明细
32,300101,振芯科技,1.96,48.62,1100.27,2025年2季度股票投资明细
33,688385,复旦微电,1.66,18.94,933.03,2025年2季度股票投资明细
34,300593,新雷能,1.62,67.73,907.58,2025年2季度股票投资明细
35,603678,火炬电子,1.49,22.04,838.18,2025年2季度股票投资明细
36,300045,华力创通,1.37,40.2,767.42,2025年2季度股票投资明细
37,605118,力鼎光电,1.23,27.72,688.29,2025年2季度股票投资明细
38,688539,高华科技,1.18,24.97,664.29,2025年2季度股票投资明细
39,002935,天奥电子,1.05,36.65,586.4,2025年2季度股票投资明细
40,603267,鸿远电子,1.0,11.14,560.01,2025年2季度股票投资明细
41,000733,振华科技,0.97,10.89,545.04,2025年2季度股票投资明细
42,300395,菲利华,0.95,10.42,532.46,2025年2季度股票投资明细
43,000801,四川九洲,0.88,31.58,493.28,2025年2季度股票投资明细
44,301517,陕西华达,0.86,11.89,483.64,2025年2季度股票投资明细
45,603712,七一二,0.86,22.93,481.76,2025年2季度股票投资明细
46,600480,凌云股份,0.83,38.25,465.45,2025年2季度股票投资明细
47,301005,超捷股份,0.64,10.24,358.4,2025年2季度股票投资明细
48,002338,奥普光电,0.04,0.46,21.76,2025年2季度股票投资明细
49,688775,影石创新,0.01,0.04,5.14,2025年2季度股票投资明细
50,001390,古麒绒材,0.01,0.18,4.0,2025年2季度股票投资明细
51,301678,新恒汇,0.0,0.04,1.7,2025年2季度股票投资明细
52,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
53,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
54,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
55,301275,汉朔科技,0.0,0.02,1.26,2025年2季度股票投资明细
56,301662,宏工科技,0.0,0.01,1.18,2025年2季度股票投资明细
57,603049,中策橡胶,0.0,0.03,1.11,2025年2季度股票投资明细
58,301590,优优绿能,0.0,0.01,1.02,2025年2季度股票投资明细
59,301658,首航新能,0.0,0.04,1.0,2025年2季度股票投资明细
60,301501,恒鑫生活,0.0,0.02,0.91,2025年2季度股票投资明细
61,301665,泰禾股份,0.0,0.04,0.88,2025年2季度股票投资明细
62,301636,泽润新能,0.0,0.02,0.86,2025年2季度股票投资明细
63,603202,天有为,0.0,0.01,0.8,2025年2季度股票投资明细
64,001356,富岭股份,0.0,0.05,0.75,2025年2季度股票投资明细
65,001382,新亚电缆,0.0,0.04,0.74,2025年2季度股票投资明细
66,603072,天和磁材,0.0,0.01,0.7,2025年2季度股票投资明细
67,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
68,301595,太力科技,0.0,0.02,0.57,2025年2季度股票投资明细
69,301560,众捷汽车,0.0,0.02,0.52,2025年2季度股票投资明细
70,603210,泰鸿万立,0.0,0.03,0.45,2025年2季度股票投资明细
71,603124,江南新材,0.0,0.01,0.41,2025年2季度股票投资明细
72,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
73,603271,永杰新材,0.0,0.01,0.37,2025年2季度股票投资明细
74,603257,中国瑞林,0.0,0.01,0.29,2025年2季度股票投资明细
75,603409,汇通控股,0.0,0.01,0.29,2025年2季度股票投资明细
76,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
77,001335,信凯科技,0.0,0.01,0.22,2025年2季度股票投资明细
78,603120,肯特催化,0.0,0.01,0.22,2025年2季度股票投资明细
79,601698,中国卫通,6.51,346.72,7388.6,2025年3季度股票投资明细
80,600118,中国卫星,6.37,195.28,7223.47,2025年3季度股票投资明细
81,600879,航天电子,5.77,560.69,6543.25,2025年3季度股票投资明细
82,688568,中科星图,5.31,138.38,6024.85,2025年3季度股票投资明细
83,002465,海格通信,4.54,393.81,5154.97,2025年3季度股票投资明细
84,300627,华测导航,4.49,143.82,5095.47,2025年3季度股票投资明细
85,300762,上海瀚讯,3.46,158.32,3924.75,2025年3季度股票投资明细
86,002049,紫光国微,3.37,42.35,3824.63,2025年3季度股票投资明细
87,688333,铂力特,3.24,48.14,3674.37,2025年3季度股票投资明细
88,300342,天银机电,3.19,202.44,3623.68,2025年3季度股票投资明细
89,600118,中国卫星,9.32,958.02,90963.86,2025年4季度股票投资明细
90,301005,超捷股份,8.76,551.19,85583.46,2025年4季度股票投资明细
91,605598,上海港湾,8.34,1171.4,81389.12,2025年4季度股票投资明细
92,601698,中国卫通,7.31,1997.69,71377.43,2025年4季度股票投资明细
93,600879,航天电子,7.13,3266.11,69633.47,2025年4季度股票投资明细
94,300342,天银机电,4.75,1398.58,46335.01,2025年4季度股票投资明细
95,300136,信维通信,4.42,695.39,43113.93,2025年4季度股票投资明细
96,002149,西部材料,4.36,934.65,42536.13,2025年4季度股票投资明细
97,300762,上海瀚讯,4.33,1013.76,42253.49,2025年4季度股票投资明细
98,002565,顺灏股份,4.14,2205.48,40426.45,2025年4季度股票投资明细
