序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002025,航天电器,5.55,260.0,14456.15,2025年1季度股票投资明细
2,300395,菲利华,3.43,200.01,8942.29,2025年1季度股票投资明细
3,600862,中航高科,3.3,360.01,8578.98,2025年1季度股票投资明细
4,002475,立讯精密,2.13,135.59,5544.15,2025年1季度股票投资明细
5,002230,科大讯飞,2.1,115.01,5470.84,2025年1季度股票投资明细
6,300408,三环集团,1.98,130.0,5153.2,2025年1季度股票投资明细
7,002371,北方华创,1.88,11.79,4905.51,2025年1季度股票投资明细
8,002415,海康威视,1.53,130.0,3991.0,2025年1季度股票投资明细
9,600276,恒瑞医药,1.42,75.33,3706.34,2025年1季度股票投资明细
10,688019,安集科技,1.34,20.8,3494.65,2025年1季度股票投资明细
11,002025,航天电器,5.35,270.47,13905.0,2025年2季度股票投资明细
12,300395,菲利华,4.15,211.13,10788.56,2025年2季度股票投资明细
13,600862,中航高科,3.72,370.79,9670.14,2025年2季度股票投资明细
14,002230,科大讯飞,2.5,135.96,6509.57,2025年2季度股票投资明细
15,002371,北方华创,1.87,11.0,4865.24,2025年2季度股票投资明细
16,002475,立讯精密,1.6,120.01,4163.04,2025年2季度股票投资明细
17,688019,安集科技,1.52,26.0,3947.33,2025年2季度股票投资明细
18,688347,华虹公司,1.33,63.06,3462.73,2025年2季度股票投资明细
19,300308,中际旭创,1.33,23.7,3456.88,2025年2季度股票投资明细
20,688981,中芯国际,1.27,37.36,3293.94,2025年2季度股票投资明细
21,601689,拓普集团,1.17,64.48,3046.56,2025年2季度股票投资明细
22,002920,德赛西威,1.16,29.64,3027.13,2025年2季度股票投资明细
23,002409,雅克科技,1.16,55.0,3007.95,2025年2季度股票投资明细
24,603986,兆易创新,1.12,22.96,2905.13,2025年2季度股票投资明细
25,002463,沪电股份,1.11,68.03,2896.72,2025年2季度股票投资明细
26,688041,海光信息,1.09,20.01,2827.13,2025年2季度股票投资明细
27,000738,航发控制,1.05,131.98,2738.59,2025年2季度股票投资明细
28,600276,恒瑞医药,1.0,50.0,2595.11,2025年2季度股票投资明细
29,688111,金山办公,0.98,9.1,2547.33,2025年2季度股票投资明细
30,688120,华海清科,0.97,14.9,2513.95,2025年2季度股票投资明细
31,300661,圣邦股份,0.94,33.58,2443.69,2025年2季度股票投资明细
32,600570,恒生电子,0.91,70.55,2366.27,2025年2季度股票投资明细
33,688012,中微公司,0.89,12.66,2307.1,2025年2季度股票投资明细
34,688052,纳芯微,0.86,12.85,2241.95,2025年2季度股票投资明细
35,688778,厦钨新能,0.86,40.0,2236.81,2025年2季度股票投资明细
36,688536,思瑞浦,0.81,15.23,2112.69,2025年2季度股票投资明细
37,300760,迈瑞医疗,0.74,8.57,1926.53,2025年2季度股票投资明细
38,300593,新雷能,0.65,125.36,1679.77,2025年2季度股票投资明细
39,002126,银轮股份,0.64,68.49,1662.94,2025年2季度股票投资明细
40,300274,阳光电源,0.64,24.46,1657.32,2025年2季度股票投资明细
41,300394,天孚通信,0.61,20.01,1597.96,2025年2季度股票投资明细
42,688692,达梦数据,0.61,7.13,1589.87,2025年2季度股票投资明细
43,300010,豆神教育,0.61,190.33,1577.84,2025年2季度股票投资明细
44,688502,茂莱光学,0.6,5.39,1551.44,2025年2季度股票投资明细
45,300430,诚益通,0.59,73.57,1533.93,2025年2季度股票投资明细
46,300750,宁德时代,0.58,6.0,1513.32,2025年2季度股票投资明细
47,300253,卫宁健康,0.57,140.95,1494.05,2025年2季度股票投资明细
48,601100,恒立液压,0.56,20.24,1457.28,2025年2季度股票投资明细
49,300567,精测电子,0.56,23.88,1447.37,2025年2季度股票投资明细
50,603228,景旺电子,0.55,34.44,1440.82,2025年2季度股票投资明细
51,300451,创业慧康,0.55,254.63,1438.66,2025年2季度股票投资明细
52,002558,巨人网络,0.54,60.0,1413.0,2025年2季度股票投资明细
53,603108,润达医疗,0.54,80.01,1412.94,2025年2季度股票投资明细
54,000887,中鼎股份,0.54,80.0,1407.2,2025年2季度股票投资明细
55,300054,鼎龙股份,0.54,48.61,1394.13,2025年2季度股票投资明细
56,000408,藏格矿业,0.53,32.36,1380.78,2025年2季度股票投资明细
57,688234,天岳先进,0.53,23.43,1371.64,2025年2季度股票投资明细
58,002484,江海股份,0.52,66.47,1361.97,2025年2季度股票投资明细
59,002517,恺英网络,0.52,70.0,1351.7,2025年2季度股票投资明细
60,688037,芯源微,0.51,12.42,1330.93,2025年2季度股票投资明细
61,002050,三花智控,0.51,50.0,1319.0,2025年2季度股票投资明细
62,688072,拓荆科技,0.5,8.54,1312.19,2025年2季度股票投资明细
63,688088,虹软科技,0.5,27.11,1308.03,2025年2季度股票投资明细
