日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2021-06-01,68.0,58.82,68.5,58.61,73309.97,,,,,,,,,,,,,,,58.82,58.82,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,9.89,,,,,,,,,,
2021-06-02,58.9,72.38,73.58,58.12,83414.45,,,,,,,,,,,,,,,60.90615384615385,59.824444444444445,,,,1.0817094017094036,0.21634188034188073,1.7307350427350456,1.0817094017094036,0.16641683103221594,1.8305851413543752,,,,,,,,,,10.902727272727272,,,,,,,,,,796.0412738620014
2021-06-03,67.0,62.94,68.05,62.56,62379.36,,,,,,,,,,,,,,,61.219053254437874,60.05522633744856,,,,1.163826916989315,0.4058388876713676,1.5159760586358946,1.163826916989315,0.3198645365640773,1.6879247608504753,,,,,,,,,,10.705867768595038,,,,,,,,,,24.72188592131372
2021-06-04,59.35,55.15,60.68,54.99,54450.88,,,,,,,,,,,,,,,60.28535275375512,59.69187623837829,,,,0.5934765153768282,0.44336641321245973,0.300220204328737,0.5934765153768282,0.3619586871506544,0.4630356564523477,,,,,,,,,,10.204800901577757,,,,,,,,,,26.68012020896313
2021-06-07,55.02,51.32,55.52,51.16,35270.89,60.122,,,,,,,60.122,,,,,,,58.90606771471587,59.071737257757675,,,,-0.16566954304180825,0.3215592219616062,-0.9744575300068289,-0.16566954304180825,0.28078511327489086,-0.8929093126333982,,,,,,,,,,9.14210982856362,,,-0.1464023152922391,,,,,,,48.686808780502275
2021-06-08,50.8,50.66,52.24,50.31,24609.07,58.489999999999995,,,,,,,58.489999999999995,,,,,,,57.637441912451884,58.448645609034884,38.43537414965986,,,-0.8112036965830001,0.09500663825268493,-1.81242066967137,-0.8112036965830001,0.11278683483521532,-1.8479810628364308,,,,,,,,,,7.830817132461143,,,-0.1338690374422978,,,,,,,87.85882230621735
2021-06-09,50.05,51.04,51.5,49.1,24898.86,54.222,,,,,,,54.222,,,,,,,56.622450848997744,57.89985704540267,39.09141895681435,,,-1.2774061964049253,-0.1794759286788371,-2.1958605354521765,-1.2774061964049253,-0.10108901612480634,-2.352634360560238,,,,,,,,,,6.843395835650026,,,-0.0586846667404375,,,,,,,107.75931017829595
2021-06-10,50.4,49.66,50.78,49.66,18734.37,51.565999999999995,,,,,,,51.565999999999995,,,,,,,55.55130456453655,57.289497264261726,1.6183986371380001,,,-1.7381926997251753,-0.4912192828881048,-2.493946833674141,-1.7381926997251753,-0.35295112129409384,-2.770483156862163,,,,,,,,,,5.850051138259111,,,-0.036962339526044274,,,,,,,76.02571181472757
2021-06-11,49.88,52.21,54.39,49.67,35007.85,50.977999999999994,,,,,,,50.977999999999994,,,,,,,55.03725770845401,56.91323820764975,17.661241711874652,,,-1.875980499195741,-0.768171526149632,-2.215617946092218,-1.875980499195741,-0.5872633332789627,-2.5774343318335564,,,,12.704248366013072,12.704248366013072,12.704248366013069,,,,5.6464054767574545,,,0.024167287849660768,,,,,,,164.99461869722077
2021-06-15,51.3,49.59,51.3,49.58,21786.89,50.632,55.376999999999995,,,,,,50.632,55.376999999999995,,,,,,54.19921806099955,56.37077611819421,25.65674255691772,,,-2.171558057194659,-1.0488488323586376,-2.2454184496720426,-2.171558057194659,-0.8310009831121468,-2.6811141481650242,,,,9.13671023965142,11.515068990559188,4.379992737835881,2.001633986928113,2.001633986928113,2.0016339869281135,5.097968117347008,,-97.99836601307189,-0.02057987043766777,-0.10450186900698832,,,,,,59.75911412129904
2021-06-16,49.33,47.02,49.45,47.0,21815.99,49.904,54.197,,,,,,49.904,54.197,,,,,,53.09472297469193,55.67812603536501,28.83858267716539,,,-2.583403060673078,-1.3557596780215255,-2.4552867653031045,-2.583403060673078,-1.1006013027369055,-2.9656035158723446,,,,6.122810785262472,9.717649588793616,-1.0668668217998167,1.3595041728755808,1.787590715577269,0.5033310874722043,4.641973914193008,,-99.92475545522949,-0.05779095864058994,-0.1324243039282617,,,,,,58.73340306528424
2021-06-17,47.27,49.34,51.3,47.04,26295.34,49.56400000000001,51.892999999999994,,,,,,49.56400000000001,51.892999999999994,,,,,,52.51707328627779,55.20863521793056,44.41624365482237,39.93630573248408,,-2.691561931652771,-1.6229201287477748,-2.1372836058099924,-2.691561931652771,-1.3453644764162696,-2.692394910473003,,,,9.783628242806568,9.7396424734646,9.871599781490502,4.611799298148255,2.7289935764342648,8.377410741576234,4.576160475248823,,-88.8836104513064,-0.004519409248648287,-0.04919738693079973,,,,,,161.8695665022143
2021-06-18,49.0,50.0,50.64,47.78,17684.18,49.632000000000005,50.599000000000004,,,,,,49.632000000000005,50.599000000000004,,,,,,52.129831242235056,54.82281038697274,45.702479338842984,40.766331658291456,,-2.6929791447376843,-1.8369319319457569,-1.7120944255838548,-2.6929791447376843,-1.5526898100041795,-2.2805786694670096,,,,18.259508030415642,12.579597659114949,29.619328773017024,10.384474385900006,5.280820512922846,20.591782131854327,4.264131297930855,,-78.0701754385965,0.007414571244358377,-0.011838178620130906,,,,,,114.21117296498618
2021-06-21,49.15,49.29,49.99,48.71,12180.11,49.048,50.013,,,,,,49.048,50.013,,,,,,51.692934128045046,54.412972580530315,48.381452318460205,16.929246634202244,,-2.7200384524852694,-2.013553236053659,-1.4129704328632204,-2.7200384524852694,-1.732281908847424,-1.975513087275691,,,,22.50227914702495,15.88715815508495,35.73252113090495,15.882294348033488,8.814645124626393,30.017592794847676,3.7233801528525174,,-73.12206572769955,0.0049339422606425815,-0.014456241377241897,,,,,,86.6738599979533
2021-06-22,49.3,50.39,51.48,49.3,18613.82,49.208000000000006,49.92,,,,,,49.208000000000006,49.92,,,,,,51.492482723730426,54.11497461160215,40.8817635270541,26.383138878434337,,-2.6224918878717247,-2.1353409664172722,-0.974301842908905,-2.6224918878717247,-1.869237290235778,-1.5065091952718936,,,,30.292453125531296,20.688923145233733,49.49951308612642,25.879129926203653,14.502806725152148,48.63177632830666,3.4445837614247865,,-54.12719891745602,0.024020484474069154,0.00941506410256408,,,,,,124.69682680624585
2021-06-23,50.4,49.63,51.89,49.45,14021.55,49.730000000000004,49.817,,,,,,49.730000000000004,49.817,,,,,,51.20594692007959,53.78275427000199,50.24630541871921,35.8751279426817,,-2.5768073499223973,-2.2236342431182976,-0.7063462136081995,-2.5768073499223973,-1.9780942224952578,-1.1974262548542791,,,,32.057846513096656,24.478564267854708,47.21641100358056,29.115631046878228,19.373748165727505,48.599396809179666,3.2619321684384612,,-64.41136671177263,-0.002010858636637873,-0.0037537386835818616,,,,,,85.90118766730629
2021-06-24,49.88,48.1,49.88,47.92,13033.68,49.482,49.523,,,,,,49.482,49.523,,,,,,50.72810893237504,53.3618095092611,57.627118644067785,40.66125290023203,,-2.6337005768860635,-2.305647509871851,-0.6561061340284251,-2.6337005768860635,-2.078956738555382,-1.109487676661363,,,,26.33355757616458,25.096895370624665,28.80688198724441,24.372080598685628,21.039858976713546,31.03652384262979,3.025217228722377,,-85.11502029769957,-0.02792934804575397,-0.028734123538557876,,,,,,73.11525714941011
2021-06-25,48.0,48.49,49.15,48.0,8752.77,49.18,49.406,,,,,,49.18,49.406,,,,,,50.38378448124042,53.00093473079731,41.74757281553397,43.606364172068375,,-2.617150249556893,-2.367948057808859,-0.49840438349606764,-2.617150249556893,-2.161755740247922,-0.9107890186179421,,,,27.712487600196987,25.968759447148773,31.199943906293406,22.96884759804122,21.682855183822774,25.540832426478104,2.684268641681945,,-79.8376184032476,-0.014030093533956846,-0.018540258268226466,,,,,,108.41043259691214
2021-06-28,48.6,49.19,49.49,48.02,8719.32,49.160000000000004,49.104,,,,,,49.160000000000004,49.104,,,,,,50.20012533028036,52.718643269256766,42.19653179190748,44.65008675534991,,-2.5185179389764087,-2.3980620340423693,-0.24091180986807892,-2.5185179389764087,-2.216642232359997,-0.6037514132328239,,,,33.40341709133785,28.446978661878468,43.31629395025662,30.240990423234006,24.535566930293186,41.65183740911564,2.4634925250125,,-55.214723926380415,0.0006102522375914164,0.001751384815900915,,,,,,115.41078218880733
2021-06-29,48.88,51.49,52.44,48.5,29056.05,49.38000000000001,49.294,52.3355,,,,,49.38000000000001,49.294,52.3355,,,,,50.3985675871603,52.62763265671923,66.22418879056049,55.02471169686987,,-2.229065069558928,-2.364262641145681,0.27039514317350655,-2.229065069558928,-2.218553438082909,-0.02102326295203749,64.39530269542713,52.3355,40.27569730457287,49.73808053002773,35.544012617928225,78.12621635422674,47.67291518411682,32.2480163482344,78.52271285588165,2.7319484295556813,-28.504484123777917,-17.463235294117577,0.04272985014175763,0.0445490323365928,-0.016155382102014906,,,,,157.92856625703004
2021-06-30,51.2,50.36,51.58,50.18,14940.24,49.525999999999996,49.628,51.9125,,,,,49.525999999999996,49.628,51.9125,,,,,50.39263411221256,52.459659867332626,49.77973568281938,44.490768314472895,,-2.0670257551200635,-2.304815263940558,0.47557901764098887,-2.0670257551200635,-2.195241486857856,0.2564314634755851,63.602439669377425,51.9125,40.22256033062258,51.613655975669424,40.900560403841965,73.03984711932435,52.27577061657172,38.923934437680174,78.97944297435481,2.4897759878182844,-25.425147267926008,-38.5185185185185,0.016839639785163413,0.014749738051100171,-0.029906091981700012,,,,,80.09922167967021
2021-07-01,50.31,49.56,51.77,49.56,13172.54,49.818,49.65,50.7715,,,,,49.818,49.65,50.7715,,,,,50.264536556487556,52.24487024753021,49.489051094890506,49.899799599198396,,-1.9803336910426523,-2.239918949360977,0.5191705166366489,-1.9803336910426523,-2.1621787490401325,0.3636901159949604,57.41565619766327,50.7715,44.12734380233674,46.50349926401562,42.76820669056652,53.97408441091382,47.58298870861579,41.81028586132538,59.12839440319658,2.438907626396778,-25.397020301244115,-61.802575107296086,-0.005178851017704355,-0.0018126888217521915,-0.023861812237180324,,,,,85.20317188470709
