指标,信号类型,强度,描述,当前值
RSI,buy,93.9%,RSI(6)超卖 (1.8 < 30),1.8214936247723443
RSI,buy,9.8%,RSI(12)超卖 (27.0 < 30),27.046632124352328
RSI,buy,3.5%,RSI(24)超卖 (28.9 < 30),28.94288150042628
BOLL,neutral,0.0%,BOLL(20-2)价格接近下轨（偏弱）,"{'close': np.float64(59.56), 'upper': np.float64(72.84145484016803), 'middle': np.float64(65.52900000000001), 'lower': np.float64(58.216545159832)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30 < 60）,"{'close': np.float64(59.56), 'ma_values': {5: np.float64(61.653999999999996), 10: np.float64(63.001), 20: np.float64(65.52900000000001), 30: np.float64(67.59033333333333), 60: np.float64(71.02433333333333)}}"
VOLUME,neutral,0.0%,成交量无特殊信号,"{'latest_volume': np.float64(198959.0), 'avg_volume': np.float64(212642.4), 'price_change': np.float64(-3.31168831168831)}"
