序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300473,德尔股份,9.49,35.5,1010.33,2025年1季度股票投资明细
2,603663,三祥新材,9.46,43.55,1006.88,2025年1季度股票投资明细
3,603200,上海洗霸,9.41,28.0,1002.12,2025年1季度股票投资明细
4,301238,瑞泰新材,9.14,53.41,972.6,2025年1季度股票投资明细
5,688499,利元亨,8.32,34.56,886.11,2025年1季度股票投资明细
6,688778,厦钨新能,8.13,18.17,865.35,2025年1季度股票投资明细
7,600206,有研新材,7.71,49.75,820.38,2025年1季度股票投资明细
8,300530,领湃科技,7.04,33.09,749.49,2025年1季度股票投资明细
9,300035,中科电气,6.39,41.98,680.5,2025年1季度股票投资明细
10,688116,天奈科技,5.62,14.0,597.81,2025年1季度股票投资明细
11,603200,上海洗霸,9.6,94.07,4409.21,2025年2季度股票投资明细
12,688778,厦钨新能,9.19,75.44,4218.34,2025年2季度股票投资明细
13,603663,三祥新材,8.64,150.59,3966.54,2025年2季度股票投资明细
14,688499,利元亨,8.48,93.59,3894.22,2025年2季度股票投资明细
15,300530,领湃科技,7.4,89.58,3398.67,2025年2季度股票投资明细
16,300473,德尔股份,7.32,103.19,3358.83,2025年2季度股票投资明细
17,688559,海目星,4.47,62.37,2052.12,2025年2季度股票投资明细
18,605088,冠盛股份,4.27,51.65,1958.44,2025年2季度股票投资明细
19,301238,瑞泰新材,3.55,84.78,1629.47,2025年2季度股票投资明细
20,300648,星云股份,3.17,42.06,1453.59,2025年2季度股票投资明细
21,688116,天奈科技,3.09,31.0,1418.95,2025年2季度股票投资明细
22,301511,德福科技,3.03,67.25,1392.08,2025年2季度股票投资明细
23,002846,英联股份,2.93,67.45,1346.3,2025年2季度股票投资明细
24,301662,宏工科技,2.86,12.4,1312.44,2025年2季度股票投资明细
25,300450,先导智能,2.57,47.51,1180.62,2025年2季度股票投资明细
26,688155,先惠技术,2.42,21.55,1112.6,2025年2季度股票投资明细
27,002167,东方锆业,1.89,77.88,866.8,2025年2季度股票投资明细
28,688449,联芸科技,0.01,0.08,3.35,2025年2季度股票投资明细
29,301622,英思特,0.01,0.03,2.3,2025年2季度股票投资明细
30,688709,成都华微,0.0,0.07,2.21,2025年2季度股票投资明细
31,603296,华勤技术,0.0,0.02,1.92,2025年2季度股票投资明细
32,301458,钧崴电子,0.0,0.05,1.71,2025年2季度股票投资明细
33,301602,超研股份,0.0,0.06,1.61,2025年2季度股票投资明细
34,688583,思看科技,0.0,0.02,1.52,2025年2季度股票投资明细
35,301310,鑫宏业,0.0,0.04,1.45,2025年2季度股票投资明细
36,688593,新相微,0.0,0.08,1.35,2025年2季度股票投资明细
37,688758,赛分科技,0.0,0.08,1.32,2025年2季度股票投资明细
38,688545,兴福电子,0.0,0.05,1.27,2025年2季度股票投资明细
39,301603,乔锋智能,0.0,0.02,1.18,2025年2季度股票投资明细
40,301601,惠通科技,0.0,0.03,1.16,2025年2季度股票投资明细
41,301459,丰茂股份,0.0,0.03,1.14,2025年2季度股票投资明细
42,301538,骏鼎达,0.0,0.02,1.12,2025年2季度股票投资明细
43,301580,爱迪特,0.0,0.03,1.08,2025年2季度股票投资明细
44,301535,浙江华远,0.0,0.06,1.06,2025年2季度股票投资明细
45,688523,航天环宇,0.0,0.05,1.02,2025年2季度股票投资明细
