序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601600,中国铝业,8.49,62.0,462.52,2025年1季度股票投资明细
2,600111,北方稀土,7.69,18.5,419.21,2025年1季度股票投资明细
3,603993,洛阳钼业,7.6,54.5,414.2,2025年1季度股票投资明细
4,000807,云铝股份,5.54,17.4,301.72,2025年1季度股票投资明细
5,000933,神火股份,4.58,13.3,249.51,2025年1季度股票投资明细
6,601168,西部矿业,4.37,14.0,238.14,2025年1季度股票投资明细
7,000630,铜陵有色,4.09,65.0,222.95,2025年1季度股票投资明细
8,002532,天山铝业,3.83,23.5,208.68,2025年1季度股票投资明细
9,600219,南山铝业,3.77,54.0,205.74,2025年1季度股票投资明细
10,601899,紫金矿业,3.49,10.5,190.26,2025年1季度股票投资明细
11,600111,北方稀土,8.27,14.8,368.52,2025年2季度股票投资明细
12,603993,洛阳钼业,8.13,43.0,362.06,2025年2季度股票投资明细
13,601600,中国铝业,7.59,48.0,337.92,2025年2季度股票投资明细
14,000807,云铝股份,4.48,12.5,199.75,2025年2季度股票投资明细
15,601168,西部矿业,3.92,10.5,174.62,2025年2季度股票投资明细
16,600219,南山铝业,3.78,44.0,168.52,2025年2季度股票投资明细
17,000933,神火股份,3.7,9.9,164.74,2025年2季度股票投资明细
18,000630,铜陵有色,3.6,48.0,160.32,2025年2季度股票投资明细
19,000831,中国稀土,3.32,4.1,148.09,2025年2季度股票投资明细
20,002532,天山铝业,3.17,17.0,141.27,2025年2季度股票投资明细
21,600362,江西铜业,3.16,6.0,140.58,2025年2季度股票投资明细
22,688122,西部超导,3.15,2.71,140.43,2025年2季度股票投资明细
23,601899,紫金矿业,3.07,7.01,136.7,2025年2季度股票投资明细
24,002128,电投能源,3.02,6.8,134.5,2025年2季度股票投资明细
25,603799,华友钴业,2.99,3.6,133.27,2025年2季度股票投资明细
26,600489,中金黄金,2.92,8.9,130.21,2025年2季度股票投资明细
27,600549,厦门钨业,2.82,6.01,125.73,2025年2季度股票投资明细
28,000426,兴业银锡,2.64,7.43,117.39,2025年2季度股票投资明细
29,603979,金诚信,2.4,2.3,106.81,2025年2季度股票投资明细
30,000878,云南铜业,2.23,7.8,99.22,2025年2季度股票投资明细
31,600392,盛和资源,2.22,7.5,98.78,2025年2季度股票投资明细
32,600497,驰宏锌锗,2.1,17.7,93.63,2025年2季度股票投资明细
33,600673,东阳光,2.09,8.0,93.04,2025年2季度股票投资明细
34,300748,金力永磁,2.03,3.8,90.59,2025年2季度股票投资明细
35,000960,锡业股份,2.03,5.9,90.27,2025年2季度股票投资明细
36,002203,海亮股份,1.68,7.24,74.72,2025年2季度股票投资明细
37,601958,金钼股份,1.47,6.0,65.64,2025年2季度股票投资明细
38,000629,钒钛股份,1.34,23.38,59.85,2025年2季度股票投资明细
39,601212,白银有色,1.11,15.8,49.45,2025年2季度股票投资明细
40,601702,华峰铝业,0.54,1.5,23.84,2025年2季度股票投资明细
41,600111,北方稀土,10.7,145.0,7003.5,2025年3季度股票投资明细
42,603993,洛阳钼业,9.95,415.0,6515.5,2025年3季度股票投资明细
43,601600,中国铝业,5.98,475.0,3914.0,2025年3季度股票投资明细
44,000807,云铝股份,4.03,128.0,2636.8,2025年3季度股票投资明细
45,000630,铜陵有色,3.85,470.0,2519.2,2025年3季度股票投资明细
46,603799,华友钴业,3.73,37.01,2438.83,2025年3季度股票投资明细
47,000426,兴业银锡,3.64,72.5,2384.53,2025年3季度股票投资明细
48,601168,西部矿业,3.46,103.0,2266.0,2025年3季度股票投资明细
49,600362,江西铜业,3.25,60.0,2129.4,2025年3季度股票投资明细
50,000831,中国稀土,3.16,40.0,2070.0,2025年3季度股票投资明细
51,301656,联合动力,0.01,0.17,4.36,2025年3季度股票投资明细
52,301563,云汉芯城,0.0,0.01,0.94,2025年3季度股票投资明细
53,301584,建发致新,0.0,0.04,0.92,2025年3季度股票投资明细
54,001285,瑞立科密,0.0,0.01,0.4,2025年3季度股票投资明细
55,603418,友升股份,0.0,0.01,0.39,2025年3季度股票投资明细
56,603993,洛阳钼业,12.62,1456.01,29120.1,2025年4季度股票投资明细
57,600111,北方稀土,8.23,412.0,19001.46,2025年4季度股票投资明细
58,601600,中国铝业,7.08,1336.0,16325.92,2025年4季度股票投资明细
59,000807,云铝股份,4.98,350.0,11494.0,2025年4季度股票投资明细
60,600362,江西铜业,4.21,177.0,9720.84,2025年4季度股票投资明细
61,000426,兴业银锡,3.66,237.0,8437.2,2025年4季度股票投资明细
62,000933,神火股份,3.57,300.0,8241.0,2025年4季度股票投资明细
63,000630,铜陵有色,3.52,1351.0,8119.51,2025年4季度股票投资明细
64,002532,天山铝业,3.51,500.0,8090.01,2025年4季度股票投资明细
65,601168,西部矿业,3.47,290.0,8015.6,2025年4季度股票投资明细
66,688795,摩尔线程,0.01,0.06,25.89,2025年4季度股票投资明细
67,688802,沐曦股份,0.01,0.04,16.53,2025年4季度股票投资明细
68,001280,中国铀业,0.0,0.23,10.33,2025年4季度股票投资明细
69,688783,西安奕材,0.0,0.4,7.39,2025年4季度股票投资明细
70,688759,必贝特,0.0,0.28,7.0,2025年4季度股票投资明细
