序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,301308,江波龙,9.71,22.0,3916.66,2025年3季度股票投资明细
2,001309,德明利,9.65,19.0,3889.11,2025年3季度股票投资明细
3,688525,佰维存储,9.31,36.0,3754.8,2025年3季度股票投资明细
4,300475,香农芯创,9.28,41.0,3741.66,2025年3季度股票投资明细
5,688228,开普云,9.15,18.0,3690.0,2025年3季度股票投资明细
6,603986,兆易创新,6.88,13.0,2772.9,2025年3季度股票投资明细
7,688123,聚辰股份,5.24,13.0,2112.11,2025年3季度股票投资明细
8,688008,澜起科技,4.8,12.5,1935.0,2025年3季度股票投资明细
9,300042,朗科科技,4.33,60.0,1746.0,2025年3季度股票投资明细
10,300302,同有科技,4.01,80.0,1615.2,2025年3季度股票投资明细
11,001309,德明利,11.44,460.0,106669.4,2025年4季度股票投资明细
12,688525,佰维存储,10.83,880.0,101015.2,2025年4季度股票投资明细
13,300475,香农芯创,10.52,680.0,98151.2,2025年4季度股票投资明细
14,301308,江波龙,9.71,370.0,90590.8,2025年4季度股票投资明细
15,300223,北京君正,7.05,620.0,65744.8,2025年4季度股票投资明细
16,603986,兆易创新,6.89,300.0,64275.0,2025年4季度股票投资明细
17,688627,精智达,6.23,260.0,58133.4,2025年4季度股票投资明细
18,688233,神工股份,6.01,800.0,56024.0,2025年4季度股票投资明细
19,688228,开普云,5.84,280.0,54490.8,2025年4季度股票投资明细
20,688008,澜起科技,4.8,380.0,44764.0,2025年4季度股票投资明细
