指标,信号类型,强度,描述,当前值
BOLL,neutral,0.0%,BOLL(20-2)价格接近下轨（偏弱）,"{'close': np.float64(66.99), 'upper': np.float64(86.90656253487762), 'middle': np.float64(73.7585), 'lower': np.float64(60.610437465122374)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30）,"{'close': np.float64(66.99), 'ma_values': {5: np.float64(67.798), 10: np.float64(68.313), 20: np.float64(73.7585), 30: np.float64(76.52766666666666)}}"
VOLUME,neutral,0.0%,成交量无特殊信号,"{'latest_volume': np.float64(5882386.0), 'avg_volume': np.float64(7208337.75), 'price_change': np.float64(-3.639240506329116)}"
