日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2019-01-02,11.66,11.7,11.53,11.6,11544000,133953196.0,1.03266,0.086283,,,,,,,,,,,,,,,11.6,11.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.16999999999999993,,,,,,,,,,
2019-01-03,11.57,11.69,11.52,11.52,10639586,123163694.0,0.951756,-0.689654,,,,,,,,,,,,,,,11.587692307692306,11.594074074074074,,,,-0.006381766381768017,-0.0012763532763536034,-0.010210826210828828,-0.006381766381768017,-0.000981810212579695,-0.010799912338376644,,,,,,,,,,0.16999999999999993,,,,,,,,,,93.31359010566217
2019-01-04,11.36,11.66,11.22,11.65,20738257,238358331.0,1.855125,1.128465,,,,,,,,,,,,,,,11.597278106508876,11.598216735253772,,,,-0.0009386287448958086,-0.0012088083700620446,0.000540359250332472,-0.0009386287448958086,-0.0009751669098590971,7.307632992657699e-05,,,,,,,,,,0.21909090909090895,,,,,,,,,,111.87536435875352
2019-01-07,11.76,11.76,11.61,11.74,19142910,224007892.0,1.712415,0.772533,,,,,,,,,,,,,,,11.619235320892125,11.608719199309048,,,,0.01051612158307691,0.001136177620565746,0.018759887925022325,0.01051612158307691,0.0007927236275156732,0.019446795911122472,,,,,,,,,,0.20652892561983466,,,,,,,,,,107.99949269778956
2019-01-08,11.7,11.84,11.66,11.73,14429906,169622210.0,1.290817,-0.085181,11.648,,,,,,,11.648,,,,,,,11.636276040754876,11.617702962323193,,,,0.018573078431682433,0.004623557782789084,0.027899041297786698,0.018573078431682433,0.003528162828156713,0.03008983120705144,,,,,,,,,,0.2017054845980465,,,0.007039835164835228,,,,,,,99.15146878691631
2019-01-09,11.78,12.35,11.71,12.12,54144684,658337145.0,4.843473,3.324811,11.751999999999999,,,,,,,11.751999999999999,,,,,,,11.710695111407972,11.654910150299253,87.14285714285715,,,0.05578496110871889,0.014855838447975046,0.0818582453214877,0.05578496110871889,0.011567670255935511,0.08843458170556676,,,,,,,,,,0.28139539648931056,,,0.03131381892443842,,,,,,,138.69029666900192
2019-01-10,12.08,12.14,11.96,12.03,22561240,271862281.0,2.018199,-0.742576,11.854000000000001,,,,,,,11.854000000000001,,,,,,,11.75981894042213,11.68269458361042,77.21518987341773,,,0.07712435681171037,0.027309542120722112,0.09962962938197652,0.07712435681171037,0.021653314341439335,0.11094208494054207,,,,,,,,,,0.2629598698548904,,,0.014847308925257159,,,,,,,92.81754453778623
2019-01-11,12.02,12.25,12.02,12.17,22902782,278279428.0,2.048751,1.16376,11.958000000000002,,,,,,,11.958000000000002,,,,,,,11.822923718818727,11.718791281120758,88.2352941176471,,,0.10413243769796843,0.042674121236171376,0.1229166329235941,0.10413243769796843,0.03434241024244381,0.13958005491104925,,,,,,,,,,0.2569671662449104,,,0.017728717176785244,,,,,,,112.26632564781183
2019-01-14,12.21,12.29,12.08,12.1,16924854,205647854.0,1.514,-0.575182,12.03,,,,,,,12.03,,,,,,,11.865550839000461,11.747028964000702,78.48101265822784,,,0.11852187499975919,0.05784367198888894,0.1213564060217405,0.11852187499975919,0.04729309712818464,0.1424575557431491,,,,77.87610619469024,77.87610619469024,77.87610619469024,,,,0.2484276814731083,,,0.00581878636741482,,,,,,,94.39476744628004
2019-01-15,12.07,12.34,12.03,12.28,29298825,358364638.0,2.620905,1.487598,12.139999999999999,11.894,,,,,,12.139999999999999,11.894,,,,,,11.929312248385004,11.78650830000065,80.68181818181817,,,0.14280394838435484,0.07483572726798213,0.13593644223274542,0.14280394838435484,0.06198707424451852,0.16163374827967264,,,,83.18584070796457,79.64601769911502,90.26548672566366,93.80530973451324,93.80530973451324,93.80530973451326,0.2596226484779978,,-6.194690265486756,0.011532125205930855,0.03245333781738685,,,,,,115.91241782093627
2019-01-16,12.3,12.31,12.08,12.12,20722113,252331941.0,1.853681,-1.30293,12.139999999999999,11.946000000000002,,,,,,12.139999999999999,11.946000000000002,,,,,,11.95864882555654,11.81121138888949,68.93203883495141,,,0.147437436667051,0.0893560691477959,0.11616273503851021,0.147437436667051,0.07513328384798505,0.1446083056381319,,,,82.00589970501471,80.43264503441492,85.1524090462143,89.08554572271383,92.23205506391344,82.79252704031461,0.2542367123910892,,-20.35398230088501,-0.0016474464579900804,0.01456554495228509,,,,,,87.70867096206167
2019-01-17,12.15,12.18,11.93,11.95,18955904,228227231.0,1.695686,-1.402641,12.123999999999999,11.988999999999999,,,,,,12.123999999999999,11.988999999999999,,,,,,11.957318237009382,11.821492026749526,39.506172839506185,61.589403973509924,,0.13582621025985553,0.09865009737020783,0.0743522257792954,0.13582621025985553,0.08447065714211897,0.10271110623547311,,,,69.98591511865845,76.95040172916276,56.056941897649835,80.92428711897735,88.46279908226808,65.84726319239587,0.25346640104725476,,-35.39823008849564,-0.014351699109204842,-0.0032529819000750443,,,,,,86.8266118969035
2019-01-18,11.91,12.09,11.91,12.05,17226953,206933275.0,1.541024,0.836823,12.1,12.029,,,,,,12.1,12.029,,,,,,11.97157696977717,11.838418543286599,51.21951219512203,63.97515527950313,,0.13315842649057075,0.10555176319428042,0.05521332659258066,0.13315842649057075,0.09196108319572693,0.08239468658968763,,,,65.49785645591727,73.13288663808095,50.22779609158994,73.76934456580477,83.56498091011365,54.17807187718702,0.24010887358411748,,-40.540540540540384,-0.004132231404958589,0.001745781029179549,,,,,,108.69045736896494
2019-01-21,12.02,12.12,12.0,12.07,15562934,187871240.0,1.392171,0.165971,12.094,12.062,,,,,,12.094,12.062,,,,,,11.986718974426836,11.85557272526537,42.857142857142904,67.74193548387099,,0.1311462491614659,0.11067066038771751,0.04095117754749675,0.1311462491614659,0.09798957026737908,0.06631335778817363,,,,62.415237637278196,69.56033697114671,48.12503896954115,68.98632632889402,78.70542938304044,49.54812022060119,0.21827089656882323,,-40.579710144927475,-0.0019844551017032526,0.0006632399270436823,,,,,,101.6722025446616
2019-01-22,12.07,12.09,11.82,11.88,15209698,181827807.0,1.360572,-1.574147,12.014,12.077000000000002,,,,,,12.014,12.077000000000002,,,,,,11.97030067066886,11.857382153023492,36.585365853658615,57.14285714285715,,0.11291851764536887,0.1111202318392478,0.0035965716122421387,0.11291851764536887,0.10028633140245444,0.025264372485828857,,,,45.45631227100602,61.525662071099816,13.31761267081842,54.84505088592937,70.75196988400342,23.031212889781273,0.22767618810176438,,-73.43749999999996,-0.011153654070251255,-0.01631199801275159,,,,,,85.32802733742594
