指标,信号类型,强度,描述,当前值
BOLL,neutral,0.0%,BOLL(20-2)价格接近下轨（偏弱）,"{'close': np.float64(25.39), 'upper': np.float64(30.138520086560224), 'middle': np.float64(27.392500000000002), 'lower': np.float64(24.64647991343978)}"
MA,buy,60.0%,均线多头排列（5 < 10 < 20 < 30）,"{'close': np.float64(25.39), 'ma_values': {5: np.float64(25.966), 10: np.float64(26.74), 20: np.float64(27.392500000000002), 30: np.float64(27.455)}}"
VOLUME,neutral,0.0%,成交量无特殊信号,"{'latest_volume': np.int64(90100279), 'avg_volume': np.float64(120964013.3), 'price_change': np.float64(-3.2761904761904743)}"
