序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600118,中国卫星,12.2,281.27,26706.88,2025年4季度股票投资明细
2,600879,航天电子,11.09,1138.44,24271.55,2025年4季度股票投资明细
3,601698,中国卫通,6.63,406.03,14507.29,2025年4季度股票投资明细
4,688568,中科星图,5.54,205.66,12134.14,2025年4季度股票投资明细
5,688270,臻镭科技,4.91,87.96,10737.8,2025年4季度股票投资明细
6,300627,华测导航,4.47,280.18,9780.99,2025年4季度股票投资明细
7,002151,北斗星通,4.14,199.29,9053.74,2025年4季度股票投资明细
8,688375,国博电子,3.87,91.02,8474.78,2025年4季度股票投资明细
9,600435,北方导航,3.79,538.46,8302.99,2025年4季度股票投资明细
10,300593,新雷能,3.06,224.93,6693.87,2025年4季度股票投资明细
11,688795,摩尔线程,0.02,0.12,49.13,2025年4季度股票投资明细
12,001280,中国铀业,0.0,0.12,5.61,2025年4季度股票投资明细
13,688809,强一股份,0.0,0.01,2.24,2025年4季度股票投资明细
14,301687,新广益,0.0,0.02,1.06,2025年4季度股票投资明细
15,301667,纳百川,0.0,0.02,0.86,2025年4季度股票投资明细
