日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2021-01-04,18.4,19.24,19.28,18.25,292229.02,,,,,,,,,,,,,,,19.24,19.24,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0300000000000011,,,,,,,,,,
2021-01-05,19.23,20.0,21.1,18.72,431033.95,,,,,,,,,,,,,,,19.356923076923074,19.296296296296294,,,,0.060626780626780175,0.012125356125356035,0.09700284900284828,0.060626780626780175,0.009327197019504643,0.10259916721455106,,,,,,,,,,1.2754545454545467,,,,,,,,,,147.31578340477242
2021-01-06,19.37,19.3,19.85,19.01,251677.33,,,,,,,,,,,,,,,19.34816568047337,19.29657064471879,,,,0.051595035754580465,0.020019292051200923,0.06315148740675908,0.051595035754580465,0.015829941440285537,0.07153018862858986,,,,,,,,,,1.223553719008265,,,,,,,,,,70.02822741531152
2021-01-07,19.1,19.0,19.49,18.62,181909.3,,,,,,,,,,,,,,,19.294601729631314,19.274602448813695,,,,0.01999928081761837,0.02001528980448441,-3.2017973732083316e-05,0.01999928081761837,0.01647137826756751,0.007055805100101717,,,,,,,,,,1.1592712246431254,,,,,,,,,,85.49937094473229
2021-01-08,19.0,18.8,19.24,18.59,161300.25,19.268,,,,,,,19.268,,,,,,,19.218509155841883,19.23944671186453,,,,-0.02093755602264835,0.01182472063905786,-0.06552455332341242,-0.02093755602264835,0.010716157607534301,-0.06330742726036531,,,,,,,,,,1.066676456526193,,,-0.024288976541415815,,,,,,,89.95855755618544
2021-01-11,18.81,18.8,19.28,18.62,150114.32,19.18,,,,,,,19.18,,,,,,,19.154123131866207,19.20689510357827,38.7755102040817,,,-0.05277197171206183,-0.001094617831166076,-0.10335470776179151,-0.05277197171206183,0.0009487530968272043,-0.10744144961777806,,,,,,,,,,0.9927352826123397,,,-0.01981230448383728,,,,,,,100.0
2021-01-12,18.85,19.4,19.45,18.68,219431.24,19.060000000000002,,,,,,,19.060000000000002,,,,,,,19.191950342348328,19.22119916997988,53.12500000000001,,,-0.029248827631551677,-0.0067254597912431964,-0.04504673568061696,-0.029248827631551677,-0.0036970285536926245,-0.051103598155718105,,,,,,,,,,0.952237958501005,,,0.017838405036725933,,,,,,,136.91114630789954
2021-01-13,19.4,19.2,19.45,18.85,171882.11,19.04,,,,,,,19.04,,,,,,,19.193188751217814,19.21962886109248,29.999999999999943,,,-0.026440109874666717,-0.010668389807927902,-0.03154344013347763,-0.026440109874666717,-0.007195964141534793,-0.03848829146626385,,,,,,,,,,0.8881946933190036,,,0.008403361344537823,,,,,,,90.15607324795732
2021-01-14,19.15,19.29,19.64,19.02,200103.43,19.098,,,,,,,19.098,,,,,,,19.208082789491996,19.224841538048594,49.640287769784116,,,-0.016758748556597425,-0.011886461557661807,-0.009744573997871236,-0.016758748556597425,-0.008667161743852122,-0.016183173625490606,,,,36.49122807017539,36.49122807017539,36.49122807017538,,,,0.8394320218064576,,,0.010053408733898848,,,,,,,104.78762311104293
2021-01-15,19.3,18.47,19.3,18.31,178540.33,19.032,19.15,,,,,,19.032,19.15,,,,,,19.094531591108613,19.168927350044992,36.12565445026173,,,-0.07439575893637951,-0.02438832103340535,-0.10001487580594831,-0.07439575893637951,-0.018779253619625565,-0.11123301063350788,,,,26.23907438848013,33.073843509610306,12.569536146219775,7.719298245613991,7.719298245613991,7.71929824561399,0.8668080178416474,,-92.280701754386,-0.029529213955443525,-0.03550913838120103,,,,,,64.76594071463451
